experiment_id,experiment_name,component,before_arm_system,after_arm_system,commit_of_run,dataset,n,labels,model,config_lever_varied,seed,metric,methodology,statistical_test_and_p,result,source_artifact_path,freshness,evidence_grade,decision,reason_for_decision,v2_canonical_decision,v2_status
E17,"assertion_span_primary_hypothesis, 'respectively' claims","verifier (experimental, NOT promoted)","LATEST-minus-one (assertion_span_primary_hypothesis=false, i.e. current production)",EXPERIMENTAL (=true),"bb2cd93/c994687, executed 2026-09-11",every real 'respectively'-pattern claim found across all committed outputs/*.jsonl (entire found population),6,NONE,"DeBERTa-v3-base-mnli-fever-anli, CPU",verification.assertion_span_primary_hypothesis,n/a,verdict changed,Verification-only re-scoring under labeled framing; exhaustive over the found population,none (n=6),"4/6 changed verdict: 3 NEI->ENTAILED, 1 NEI->CONTRADICTED, 0 safety reversals - VERIFIED AT SOURCE (I read all 6 rows)",research/prototype/outputs/assertion_spans_primary_hypothesis_benchmark.jsonl,historical 2026-09-11 (CPU),BEHAVIORAL (provisional),REUSABLE (as a preserved negative/inconclusive result),"Honest, exhaustive over its population, correctly NOT promoted on n. This is an EXPERIMENTAL-vs-LATEST comparison, not ORIGINAL-vs-LATEST - the 'before' arm is current production. CPU-rerunnable but nothing would change without more data.",REUSABLE,
E18,"Assertion-aware correction vs legacy, paired real replay","correction (experimental, NOT promoted)","LATEST (correction.assertion_aware=false, legacy whole-sentence regeneration)","EXPERIMENTAL (=true, splice-based)","fb4e98f, executed 2026-09-11/12","the exact 5 documents that triggered legacy correction in the n=62 batch, under 2 narrow_primary arms",10 paired attempts (= 5 DOCUMENTS x 2 arms),NONE,"Qwen2.5-7B-Instruct + DeBERTa, GPU",correction.assertion_aware false -> true,greedy,corrections shipped,Paired on identical cases; both mechanisms run on the same triggered attempts,"none (0 vs 0, no discordant pairs)",0/10 shipped under assertion-aware; legacy also 0/10 on the identical cases - VERIFIED AT SOURCE (all 10 rows read),research/prototype/outputs/assertion_aware_correction_experiment_comparison.json,FRESH 2026-09-12 (GPU),BEHAVIORAL (null result),RERUN_INFEASIBLE (reusable as-is),"Genuine, well-documented null result. Not an ORIGINAL-vs-LATEST comparison - both arms are at LATEST on the five production levers. EFFECTIVE-n FLAG: 10 = 5 documents scored twice, so only 5 independent documents. Cannot be rerun (Qwen correction).",RERUN_INFEASIBLE,
E19,Error propagation / first-failure-stage matrix,correction (derived analysis),n/a,n/a (descriptive over E18's 10 attempts),"fb4e98f, 2026-09-12",same 10 paired attempts as E18,10,NONE,-,-,n/a,first failure stage per attempt,Derived programmatically by scripts/build_error_propagation_matrix.py from stored records,none,"5 safety-gate (scope/citation/ordinal), 2 reverification, 2 sibling-regression, 1 not-triggered - I RECOUNTED THE CSV, EXACT MATCH",research/prototype/outputs/error_propagation_matrix.csv,"FRESH, derived 2026-09-12",BEHAVIORAL (descriptive),REUSABLE,"Derived, deterministic, verified. Descriptive only; carries E18's effective-n caveat.",REUSABLE,
E20,Assertion-spans architecture integration replay,correction (engineering verification),code before the assertion_spans-consuming change,HEAD code,"fb4e98f, 2026-09-12",the 9 triggered attempts from the n=10 batch (the 1 not_triggered case excluded),9,NONE,no new model call (replays recorded corrector output),assertion_spans consumption in the splice path,n/a,"target-fragment mismatches, outcome mismatches",Replay of new code against recorded corrector outputs,none,"0 target mismatches, 0 outcome mismatches - VERIFIED AT SOURCE",research/prototype/outputs/assertion_span_aware_integration_replay.json,FRESH 2026-09-12 (CPU),ENGINEERING,REUSABLE,"An engineering equivalence check, not a research result, and correctly labelled as such. All 10 cases happen to have 1-element assertion_spans, so the multi-span path is untested on real data - the package states this.",REUSABLE,
E21,Confidence-threshold sensitivity sweep,verifier,"n/a - a descriptive sweep, not a baseline/variant comparison (but it reports BOTH framings)",n/a,"4ca3fad era, executed 2026-08-27",GOLD-01 stored softmax distributions,420,GOLD,no re-inference (replays stored raw_scores),verification.confidence_threshold 0.50-0.95,n/a,macro F1 and accuracy vs threshold,Pure replay of the NLIVerifier decision rule over stored distributions - perfectly deterministic,none (descriptive),production 0.70 is within 0.00215 (bare; peak 0.7508 at 0.55-0.65) and 0.0000 (labeled; peak at 0.65-0.75) macro F1 of the sweep optimum - VERIFIED AT SOURCE,research/prototype/outputs/threshold_sensitivity_analysis.json ; research/prototype/outputs/threshold_sensitivity_analysis.md,FRESH replay 2026-08-27,GOLD (descriptive),REUSABLE,Cheapest and most reproducible artifact in the repo. Cross-validates E01/E02: the 0.70 rows reproduce GOLD-01's accuracy and macro F1 exactly. Inherits E01's attributed-condition construction caveat.,REUSABLE,
E22,Component/regression test suite,all,n/a,HEAD (fb4e98f),"fb4e98f, RE-RUN BY ME 2026-09-18",research/prototype/tests/,291 collected items,n/a,DeBERTa loaded in one real-integration test; the rest are mock/deterministic,n/a,n/a,pass/fail,pytest -q on the CURRENT Python 3.13.1 / torch 2.13.0+cpu / transformers 5.15.1 stack,n/a,"290 passed, 1 skipped, 0 failed in 124s - MY OWN FRESH RUN. This REFUTES the documented 302/302 and also the results_phase3 205/205",research/prototype/tests/ (run by me at HEAD),FRESH 2026-09-18 (mine),ENGINEERING,INVALIDATED (as documented) / REUSABLE (as re-measured),"REFUTED AS DOCUMENTED. PROJECT_CONTEXT 01/04/09/10/11 and FINAL_RESEARCH_FREEZE_REPORT all claim 302/302; results_phase3/tables/headline_results/headline_results.csv claims 205/205 as the 'authoritative total'. Neither matches HEAD. The suite nevertheless passes cleanly on the NEW stack, which is direct evidence that CPU reruns of deterministic components are safe on this machine.",INVALIDATED,
E23,JOINT THREE-LEVER ablation: final_gpu_validation Arm A vs Arm B,full pipeline,"O-CFG on FOUR levers (use_evidence_v1=false/59-record, premise_framing=bare, atomic_scope_check=false, narrow_reverification_hypothesis=false); narrow_primary_hypothesis did not exist yet","LATEST on THREE levers (use_evidence_v1=true, atomic_scope_check=assertion_spans, narrow_reverification_hypothesis=true) but premise_framing stays BARE in both arms","4ca3fad era, executed 2026-08-27","50 deterministically-selected never-before-evaluated cases, disjoint from all 130 prior document_ids; fresh Qwen generation shared across arms",50 cases / 209 claims,"NONE (natural, METRIC-ONLY)","Qwen2.5-7B-Instruct + DeBERTa, GPU",THREE levers varied jointly: use_evidence_v1 + atomic_scope_check + narrow_reverification_hypothesis,42,"evidence coverage, verdict distribution, correction funnel","Single run, shared generation, per-arm verification and correction against that arm's own evidence pool - a real joint multi-lever design",none performed,"coverage 132/209 -> 147/209; NEI 129 -> 144, NO_EVIDENCE 77 -> 62, CONTRADICTED 3 -> 3; correction 5 triggered / 0 shipped / 3 failed / 2 scope-violation IDENTICAL IN BOTH ARMS - VERIFIED AT SOURCE",research/prototype/outputs/final_gpu_validation_metrics.json,historical 2026-08-27 (GPU),METRIC_ONLY,REUSABLE (and UNDER-REPORTED),"THIS IS THE ANSWER TO 'DOES A JOINT MULTI-LEVER EXPERIMENT EXIST'. The docs' claim that a joint FOUR-lever ablation was never executed is literally TRUE, but they under-report this: a joint THREE-lever O-CFG -> partial-LATEST run DOES exist on fresh disjoint data and was independently reproduced (E23b). Its striking, never-highlighted finding is that the three-lever change produced ZERO difference in correction outcomes; the only movement is retrieval coverage. NOTE: evidence_pool_size is recorded as 137 here (pre-audit-fix); the live pool at HEAD is 136 (I verified by loading it).",REUSABLE,
E23b,STEP 10B fresh GPU reproduction of E23,full pipeline,same as E23 (O-CFG on four levers),"same as E23 (LATEST on three levers, bare framing both arms)","ccbe73f+, executed ~2026-09-05/06",same 50 cases,50 cases / 209 claims,NONE,"Qwen2.5-7B + DeBERTa, GPU",same three levers,42,"evidence coverage, verdict distribution, correction funnel",Independent fresh re-execution on a GPU machine; evidence_pool_size corrected to 136,none,"IDENTICAL to E23 in every reported field (132/147 matched, 129/77/3 vs 144/62/3, 5 triggers, 0 shipped both arms) - VERIFIED BY DIRECT COMPARISON",research/prototype/evaluation/actual_outputs/gpu_209_reproduction/step10b_final_gpu_validation_metrics.json,"FRESH reproduction (GPU, different session)",METRIC_ONLY,REUSABLE,A genuine independent reproduction of the joint three-lever experiment. Materially strengthens E23. Not rerunnable here (Qwen).,REUSABLE,
E24,premise_framing isolated within the improved config: correction shipping,correction,LATEST-minus-one (premise_framing=bare with use_evidence_v1=true + atomic_scope_check=assertion_spans + narrow_reverification=true already on) = final_gpu_validation Arm B,LATEST on four levers (premise_framing=labeled plus the same three),"4ca3fad era, executed 2026-08-27","same 50 cases / 209 claims, same generated text as E23",5 vs 10 triggered attempts,NONE,"Qwen2.5-7B correction + DeBERTa reverification, GPU","verification.premise_framing bare -> labeled, all else fixed",42,"corrections triggered, corrections shipped, unsafe shipped",Reuses Arm B's generated text and evidence; only the Qwen correction call and CPU re-verification are new. Genuinely isolated by design.,"none (5 vs 10 triggered, 0 vs 1 shipped - far too small)","0/5 -> 1/10 shipped; 0 unsafe both arms - VERIFIED AT SOURCE and independently reproduced exactly (STEP 10, E24b)",research/prototype/outputs/labeled_correction_validation_gpu_metrics.json,"historical 2026-08-27 (GPU), reproduced fresh in evaluation/actual_outputs/gpu_correction_rerun/",METRIC_ONLY (provisional),"RERUN_INFEASIBLE (reusable, grade C)","The LATEST arm here is the full four-lever production config as of Aug-2026. Because E23 showed Arm A and Arm B have IDENTICAL correction outcomes, this 0/5 -> 1/10 is simultaneously the premise_framing single-lever result AND, numerically, the four-lever O-CFG -> LATEST correction result on the same 50 documents. That composite is stated nowhere in the repo. Not rerunnable: needs Qwen correction.",RERUN_INFEASIBLE,
E25,147-claim natural framing shift (CPU verification-only),verifier,O-CFG-single-lever (premise_framing=bare),LATEST-single-lever (premise_framing=labeled),"4ca3fad era, executed 2026-08-27",the 147 evidence-matched claims of final_gpu_validation Arm B,147,"NONE (natural, METRIC-ONLY)","DeBERTa-v3-base-mnli-fever-anli, CPU",verification.premise_framing (evidence pool held at v0+v1 136 records),n/a,"verdict distribution, verdict flips, correction triggers",Verification-only second pass over identical stored text/evidence; the only variable is the premise string,none performed,"ENTAILED 0 -> 13, NEI 144 -> 131, CONTRADICTED 3 -> 3; correction triggers 9 -> 19; 15 flips total - VERIFIED AT SOURCE",research/prototype/outputs/final_validation_bare_vs_labeled_cpu_metrics.json,historical 2026-08-27 (CPU),BEHAVIORAL / METRIC_ONLY,REUSABLE (with a hidden-regression flag),"The best REAL-DATA evidence for premise_framing and far more honest than the GOLD-01 headline. HIDDEN REGRESSION: the 15 flips are 13 NEI->ENTAILED, 1 NEI->CONTRADICTED and 1 CONTRADICTED->NEI (I counted them). results_phase3 T02 reports 'CONTRADICTED 3 -> 3, +0', netting a LOST contradiction detection against a gained one. The two offsetting safety-relevant flips should be reported, not netted. CPU-rerunnable.",REUSABLE,
E26,"Correction re-verification under bare vs labeled framing (synthetic, stored corrections)",correction / re-verification,O-CFG-single-lever (premise_framing=bare),LATEST-single-lever (premise_framing=labeled),"54c98d2/fe8b15b, executed 2026-08-26",the 30 corrections the real Qwen corrector already produced in run_synthetic_stress.jsonl,30,DETERMINISTIC_SYNTHETIC,"DeBERTa-v3-base-mnli-fever-anli, CPU (no regeneration)",verification.premise_framing,n/a,re-verification verdict; would-ship rate under the unchanged ENTAILED-only gate,Re-verification only; corrected text read from disk exactly as the GPU run emitted it. Bare verdicts reproduced 30/30 against the original run.,none performed,"ENTAILED 0 -> 23, CONTRADICTED 2 -> 4, NEI 28 -> 3; would-ship 0/30 (0%) -> 23/30 (76.7%) - VERIFIED AT SOURCE",research/prototype/outputs/correction_reverification_framing.md ; research/prototype/outputs/correction_reverification_framing.jsonl,historical 2026-08-26 (CPU),DETERMINISTIC_SYNTHETIC / BEHAVIORAL,REUSABLE (and MISSING FROM THE INDEX),"Not listed in PROJECT_CONTEXT/04 at all, yet it is the source of commit fe8b15b's headline and the single largest premise_framing effect on correction shipping anywhere in the project. Fully CPU-rerunnable (no Qwen). Caveat: SYNTHETIC population, must never be pooled with natural shipping rates.",REUSABLE,
E27,Natural-claim re-verification under bare vs labeled framing,verifier,O-CFG-two-lever-consistent (premise_framing=bare AND v0 59-record pool),"LATEST-single-lever (premise_framing=labeled, still v0 pool)","54c98d2 era, executed 2026-08-26",52 evidence-matched natural claims from run_B_n30.jsonl + run_natural_targeted.jsonl,52,NONE (METRIC-ONLY),"DeBERTa, CPU",verification.premise_framing (v0 59-record pool held fixed),n/a,"verdict distribution, correction trigger rate",Verification-only re-scoring; bare verdicts reproduced 52/52 from the original GPU runs,none,"ENTAILED 0 -> 3, NEI 52 -> 49; correction triggers 0/52 -> 3/52 - VERIFIED AT SOURCE",research/prototype/outputs/natural_reverification_framing.md ; research/prototype/outputs/natural_reverification_framing.jsonl,historical 2026-08-26 (CPU),BEHAVIORAL / METRIC_ONLY,REUSABLE,"Small but clean single-lever natural-data result, CPU-rerunnable. Not in PROJECT_CONTEXT/04.",REUSABLE,
E28,"natural_candidates batch1, bare vs labeled (end-to-end GPU)",verifier + correction,O-CFG-single-lever (premise_framing=bare),LATEST-single-lever (premise_framing=labeled),"4ca3fad era, 2026-08-27","50 never-before-evaluated cases, fresh Qwen generation shared across arms",50 cases / 251 claims / 168 evidence-matched,NONE,"Qwen2.5-7B + DeBERTa, GPU",verification.premise_framing (v0 pool),42,"verdict distribution, correction funnel","shared generation, per-arm verification and correction",none,"ENTAILED 0 -> 5, CONTRADICTED 1 -> 2, NEI 167 -> 161; correction triggers 5 -> 16; shipped 0 -> 0 - VERIFIED AT SOURCE",research/prototype/outputs/natural_candidates_50_gpu_metrics.json,historical 2026-08-27 (GPU),BEHAVIORAL / METRIC_ONLY,RERUN_INFEASIBLE (reusable as-is),"Clean single-lever end-to-end ablation on fresh data. Needs Qwen to reproduce end-to-end, but its VERIFICATION half is CPU-rerunnable from the stored generated text.",RERUN_INFEASIBLE,
E29,"natural_candidates batch2, bare vs labeled (end-to-end GPU)",verifier + correction,O-CFG-single-lever (premise_framing=bare),LATEST-single-lever (premise_framing=labeled),"4ca3fad era, 2026-08-27",50 further never-before-evaluated cases,50 cases / 236 claims / 116 evidence-matched,NONE,"Qwen2.5-7B + DeBERTa, GPU",verification.premise_framing (v0 pool),42,"verdict distribution, correction funnel","shared generation, per-arm verification and correction",none,"ENTAILED 2 -> 11, CONTRADICTED 1 -> 3, NEI 113 -> 102; triggers 5 -> 10; shipped 0 -> 0 - VERIFIED AT SOURCE",research/prototype/outputs/natural_candidates_batch2_gpu_metrics.json,historical 2026-08-27 (GPU),BEHAVIORAL / METRIC_ONLY,RERUN_INFEASIBLE (reusable as-is),Same design as E28 on disjoint cases - a genuine replication of the premise_framing direction on natural data. Verification half is CPU-rerunnable.,RERUN_INFEASIBLE,
E30,phase2 combined natural evaluation (batch1+batch2 pooled),verifier + correction,O-CFG-single-lever (premise_framing=bare),LATEST-single-lever (premise_framing=labeled),"4ca3fad era, 2026-08-27",100 cases pooled from E28+E29,100 cases / 487 claims / 284 evidence-matched,NONE,"Qwen2.5-7B + DeBERTa, GPU",verification.premise_framing (v0 pool),42,"verdict distribution, correction funnel, scope-check replay","pooled roll-up of two disjoint, identically-designed 50-case batches",none,"ENTAILED 2 -> 16, CONTRADICTED 2 -> 5, NEI 280 -> 263; triggers 10 -> 26; shipped 0 -> 0. Also records 1/11 scope unblocked and 0/1 of those actually shipping - VERIFIED AT SOURCE",research/prototype/outputs/phase2_natural_evaluation_results.json,historical 2026-08-27 (GPU),BEHAVIORAL / METRIC_ONLY,REUSABLE (as a pooled descriptive),"Pooling two disjoint 50-case batches with identical design is legitimate here. Important detail buried in this file: the 1 scope violation the assertion_spans gate unblocked STILL did not ship on re-verification, so the headline 1/11 unblocked produced 0 shipped corrections.",REUSABLE,
E31,"framing comparison, natural GPU (stored-claims variant)",verifier,O-CFG-single-lever (premise_framing=bare),LATEST-single-lever (=labeled),"4ca3fad era, 2026-08-27","run_B_n30 + run_natural_targeted, claims as stored",41 docs / 117 claims / 52 matched,NONE,"DeBERTa (GPU), no regeneration",premise_framing,42,"verdict counts, correction funnel",re-verification of stored claims; bare arm reproduced 52/52,none,ENTAILED 0 -> 3; triggers 0 -> 3; shipped 0 -> 0 - VERIFIED AT SOURCE,research/prototype/outputs/framing_comparison_natural_gpu_metrics.json,historical 2026-08-27,BEHAVIORAL,REUSABLE (superseded by E32),"Uses the STORED (older-parser) claims. Superseded by E32, which re-derives claims with the then-current parser.",REUSABLE,
E32,"framing comparison, natural GPU (claims re-derived with current parser)",verifier + correction,O-CFG-single-lever (premise_framing=bare),LATEST-single-lever (=labeled),"4ca3fad era, 2026-08-27","same 41 docs, claims RE-DERIVED from generated_field.text",41 docs / 122 claims / 71 matched,NONE,"Qwen correction + DeBERTa, GPU",premise_framing,42,"verdict counts, correction funnel",re-parse + re-verify + correct,none,"ENTAILED 0 -> 3, NEI 71 -> 68; triggers 0 -> 4; 1 correction shipped under labeled - VERIFIED AT SOURCE",research/prototype/outputs/framing_comparison_natural_reparsed_gpu_metrics.json,historical 2026-08-27,BEHAVIORAL,RERUN_INFEASIBLE (reusable as-is),"Shows the parser fix and the framing lever interacting (117 -> 122 claims, 52 -> 71 matched on the same texts). Correction arm needs Qwen.",RERUN_INFEASIBLE,
E33,"framing comparison, synthetic GPU n=12 (pilot)",verifier + correction,O-CFG-single-lever (premise_framing=bare),LATEST-single-lever (=labeled),"fe8b15b era, 2026-08-27",synthetic stress subset,12,DETERMINISTIC_SYNTHETIC,"Qwen correction + DeBERTa, GPU",premise_framing,42,"contradiction recall, correction funnel",pilot run,none,recall 0.4167 in both arms; correction 0/5 shipped (bare) - VERIFIED AT SOURCE,research/prototype/outputs/framing_comparison_gpu_n12_metrics.json,historical 2026-08-27,DETERMINISTIC_SYNTHETIC,HISTORICAL_ONLY,A 12-case pilot superseded by the n=59 runs. No independent value.,HISTORICAL_ONLY,
E34,"framing comparison, synthetic GPU n=59 with real correction (plus postfix rerun)",verifier + correction,O-CFG-single-lever (premise_framing=bare),LATEST-single-lever (=labeled),"4ca3fad era, 2026-08-27","GOLD-02 synthetic stress set, 59 cases",59,DETERMINISTIC_SYNTHETIC,"Qwen2.5-7B correction + DeBERTa, GPU",premise_framing,42,"contradiction recall, corrections shipped",end-to-end with real Qwen correction; bare arm reproduced 59/59 against the committed run,none,recall 0.3559 -> 0.4576 (matches GOLD-02 exactly); corrections shipped 0/30 -> 26/36 (72.2%); 0 unsafe - VERIFIED AT SOURCE,research/prototype/outputs/framing_comparison_gpu_n59_metrics.json ; research/prototype/outputs/framing_comparison_gpu_n59_postfix_metrics.json,historical 2026-08-27 (GPU),DETERMINISTIC_SYNTHETIC,RERUN_INFEASIBLE (reusable as-is),"Independently reproduces GOLD-02's recall on GPU. The 0/30 -> 26/36 shipping swing is the largest premise_framing effect in the project but is SYNTHETIC - the package is right to keep it strictly separate from the 1/56 natural rate. The verification arm alone is CPU-rerunnable (framing_comparison_synthetic_postatomic_cpucheck_metrics.json is exactly that, device=cpu, correction off).",RERUN_INFEASIBLE,
E35,Agreement against provisional 'assumption gold' labels,verifier,O-CFG-single-lever (premise_framing=bare),LATEST-single-lever (=labeled),"4ca3fad era, 2026-08-27","88 claims over 29 document_ids, labeled by Claude (NOT a lawyer)",38 evidence-matched claims,"PROVISIONAL, machine-generated - NOT ground truth","DeBERTa, CPU",premise_framing,n/a,agreement rate with the provisional label set,bare verdicts reused verbatim from assumption_annotation.jsonl; labeled verdicts freshly computed,none,bare agreement 20/38 (52.6%) -> labeled 18/38 (47.4%): labeled framing agrees LESS - VERIFIED AT SOURCE,research/prototype/outputs/assumption_gold_bare_vs_labeled_metrics.json ; research/prototype/outputs/final_metrics.json section_E,historical 2026-08-27,PROVISIONAL,HISTORICAL_ONLY (never citable as accuracy),"A preserved COUNTER-SIGNAL to the premise_framing headline, correctly caveated in-repo and correctly excluded from every figure. Must never be quoted as accuracy - the labels are machine-produced. Worth keeping visible precisely because it cuts against the main claim.",HISTORICAL_ONLY,
E36,MVP 30-case A/B/C run (the project's earliest end-to-end evaluation),full pipeline,"O-CODE-adjacent (223eb9d-era pipeline, v0 59-record pool, no framing lever, no scope lever in config at all)",n/a (single configuration),"223eb9d, 2026-08-25/26",30 deterministically selected cases,30 cases / 88 claims / 38 matched,NONE,Qwen2.5-7B + DeBERTa,modes A/B/C,42,"coverage, verdict distribution, correction trigger/success",paired A/B/C over the same generated field,none,"coverage 43.2%; all 38 verdicts NEI; 0 ENTAILED, 0 CONTRADICTED; correction triggered 0/30 - VERIFIED AT SOURCE","research/prototype/outputs/eval_30_report.md ; research/prototype/outputs/run_{A,B,C}_n30.jsonl",historical 2026-08-25/26,HISTORICAL,HISTORICAL_ONLY,"The closest thing to an O-CODE end-to-end run. Its most useful property for this audit: under the original configuration the verifier produced ZERO decisive verdicts on 38 evidence-matched natural claims - that is the real baseline the labeled-framing work was responding to. Not rerunnable (Qwen generation), but its stored text feeds every CPU replay.",HISTORICAL_ONLY,
E37,Joint four-/five-lever O-CFG -> LATEST isolation,all production levers,would be O-CFG-full,would be LATEST-full,n/a,n/a,n/a,n/a,n/a,all five levers together,n/a,n/a,NOT EXECUTED,n/a,"DOES NOT EXIST - CONFIRMED by exhaustive search of outputs/, evaluation/, results_phase3/ and the archived package",research/prototype/results_phase3/tables/ablation/ablation_results.md (row joint_four_lever_isolation) ; research/prototype/archive/2026-09-06_output_phase_3_vedant/Output_phase_3_vedant/NOT_GENERATED_REGISTER.md,NOT_EXECUTED,E (NOT_ISOLABLE),NOT_APPLICABLE,"CONFIRMED AS DOCUMENTED, with two refinements. (1) A joint THREE-lever run DOES exist (E23/E23b), and composing E23's Arm A with E24 yields a de-facto FOUR-lever O-CFG -> LATEST correction comparison on the same 50 documents (0/5 -> 1/10). No experiment anywhere varies all FIVE levers, and narrow_primary_hypothesis (added 2026-09-09) is absent from every joint design. (2) No commit in this repo ever had the O-CFG values committed in config/prototype.yaml - the five levers appear for the first time already at their LATEST values (100e263 for four of them, bb2cd93 for narrow_primary_hypothesis), so O-CFG is a RECONSTRUCTED configuration that only ever existed as per-script overrides. O-CODE (0e37525) has no premise_framing code path and no evidence-v1 file at all.",NOT_APPLICABLE,
E38,NO_EVIDENCE root-cause taxonomy (v2/v3),evidence retrieval,"n/a (single arm, LATEST pool)",LATEST (v0+v1 pool),"4ca3fad era, 2026-08-27",797 pooled natural claims,797 claims / 260 uncovered,NONE,no model,none (diagnostic),n/a,root-cause bucket counts,Deterministic classification of every remaining NO_EVIDENCE claim,none,"260 uncovered of 797: wrong act/edition 78, no such provision in any act 140, unresolved act 40, parser/matcher defect candidate 2 - VERIFIED AT SOURCE",research/prototype/outputs/no_evidence_taxonomy_v3.json ; research/prototype/outputs/final_metrics.json section_C,historical 2026-08-27,METRIC_ONLY (descriptive),REUSABLE as a diagnostic / RERUN_REQUIRED if quoted alongside HEAD,n-MISMATCH FLAG: this file uses n=797 claims while the coverage headline uses n=588 and the Art./Arts. audit uses n=802 over 181 texts. Three different denominators for 'all natural claims' coexist in outputs/ because each was computed over a different file set with a different parser version. Anyone quoting a corpus-level number must say which.,REUSABLE,
E39,Docker single-case smoke run,full pipeline (packaging),n/a,2026-08-27 image (predates five later production levers),"4ca3fad era, 2026-08-27","1 case, modes A and C",1,n/a,Qwen + DeBERTa,n/a,42,structural completion,one-row smoke test,none,"1 record each for mode A and mode C, structurally complete",research/prototype/outputs/docker_run_A_n1.jsonl ; research/prototype/outputs/docker_run_C_n1.jsonl,historical 2026-08-27,ENGINEERING,HISTORICAL_ONLY,A packaging sanity check against an image that predates five production levers. Docker is ENVIRONMENT-BLOCKED on this machine and the project correctly does not claim it passes.,HISTORICAL_ONLY,
E40,"Qwen-as-verifier benchmark dataset (v1, n=177)",verifier,"n/a - this is a DATASET file, not a result",n/a,"54c98d2, 2026-08-26","177 constructed premise/hypothesis pairs, superseded by the 420-item v2 set",177,GOLD (construction rule),n/a (dataset),n/a,n/a,n/a,deterministic rule-based construction from canonical statute text,n/a,No metrics are stored in this file; it is inputs only,research/prototype/outputs/verifier_benchmark.jsonl,historical 2026-08-26,GOLD (dataset),NOT_APPLICABLE,"Superseded by outputs/controlled_verifier_benchmark.jsonl (v2, n=420). Its construction_rule field ('faithful_paraphrase_with_attribution') is direct evidence for the attribution-artifact finding recorded against E01.",NOT_APPLICABLE,
