change_id,component,original_behavior,evidence_for_original,problem/failure,evidence_for_problem,modification (commit + file),latest_behavior,evidence_for_latest,status,experiment_that_measures_it,motivation_documented,evidence_grade,limitation,v2_fresh_result
CHG-11,Claim granularity - assertion_spans ('respectively' pattern),No structured representation for a claim whose content is not one contiguous span,0e37525 / 223eb9d research/prototype/src/claim_parser.py (no assertion_spans field),"For 'Sections 406 and 420 ..., which respectively deal with X and Y' a citation's number and its paired description sit in different places; one assertion_text would either drag in sibling content or require synthesizing a sentence (which this codebase never does)",Claim.assertion_spans docstring (100e263); config/prototype.yaml atomic_scope_check 'assertion_spans' block; research/prototype/outputs/respectively_atomic_claims_diagnosis.md,"100e263 research/prototype/src/claim_parser.py (_assign_respectively_spans, _respectively_items_zone, _bare_number_span, _split_list_items) + Claim.assertion_spans","'respectively' claims carry a LIST of independently-required verbatim fragments [bare_number_span, description_item]; every other claim gets [assertion_text]",research/prototype/src/claim_parser.py @ fb4e98f (_assign_respectively_spans),PROMOTED_PRODUCTION,research/prototype/outputs/atomic_scope_check_replay_v2.md (0/6 real scope violations newly unblocked beyond assertion_text; 6/6 correctly still blocked); tests/test_respectively_claims.py,YES - dataclass docstring and config comment state why a single span was impossible,BEHAVIORAL,Observational evidence from committed artifacts; not gold-labelled.,
CHG-12,Evidence matcher - digit-insensitive token-overlap shortcut,_token_overlap was plain Jaccard over act_significant_words,0e37525 research/prototype/src/evidence_matcher.py _token_overlap,"motivation: NOT_DOCUMENTED (inferred from diff: intended to treat act names differing only by numeric tokens as identical). INFERENCE: act_significant_words() tokenizes with [a-z']+ in BOTH 0e37525 and HEAD, so digits never reach this function from either production call site (match_evidence, classify_no_evidence) - the shortcut appears inert in the shipped path",0e37525 and HEAD research/prototype/src/claim_parser.py act_significant_words (regex [a-z']+); grep shows _token_overlap has no other caller,223eb9d research/prototype/src/evidence_matcher.py _token_overlap (+4 lines: sets equal after digit removal -> 1.0),Sets equal after dropping pure-digit tokens score 1.0; otherwise unchanged Jaccard,research/prototype/src/evidence_matcher.py @ fb4e98f lines 59-66,PROMOTED_PRODUCTION,NONE,"NO - inferred from diff; no commit text, comment or test explains this hunk (INFERENCE, flagged)",NOT_MEASURED,"No experiment measures this change. Correctness rests on code review and, where present, regression tests only.",
CHG-13,Evidence pool - v0 (59 records) -> v0+v1 (136 records),"load_usable_evidence() read exactly one (canonical, audit) file pair; config had no v1 paths and no use_evidence_v1 flag; usable pool = 59 records",0e37525 research/prototype/src/data_loader.py load_usable_evidence; 0e37525 config/prototype.yaml (no v1 keys),Evidence coverage on real natural claims was ~60-63%; correctly-parsed citations returned NO_EVIDENCE purely because the provision was absent from the 59-record pool,research/prototype/outputs/evidence_coverage_v0_vs_v1.json (588 claims: 354 matched under v0 vs 390 under v1); outputs/no_evidence_taxonomy_v2.json / v3.json; outputs/final_gpu_validation.md,"100e263: src/data_loader.py (_load_usable_records_by_key, extra_canonical_path/extra_audit_path merge, load_usable_evidence_from_config) + config/prototype.yaml use_evidence_v1 false->true + research/data/evidence/canonical_statutes_v1.jsonl and evidence_audit_v1.jsonl","The v1 supplement is merged by dataset_citation_key (extra replaces base) when use_evidence_v1: true, giving a 136-record usable pool; base v0 files are never modified",research/prototype/config/prototype.yaml use_evidence_v1: true; src/data_loader.py @ fb4e98f,PROMOTED_PRODUCTION,"research/prototype/outputs/final_gpu_validation.md + final_gpu_validation_metrics.json (paired arms, 50 held-out natural cases: +7.1pp coverage 63.2->70.3, McNemar chi2=13.07, p~0.0003, 0 regressions); outputs/evidence_coverage_v0_vs_v1.json (588-claim corpus 60.2->66.3%); outputs/evidence_v1_independent_audit.md",YES - FINAL_PRODUCTION_CONFIG.md section 2 and the config comment give the McNemar result and the independent audit,HISTORICAL,"Qwen-dependent and/or natural unlabelled data. RERUN_INFEASIBLE in this session (no GPU, Qwen uncached). Reused as historical evidence only.","V2 FRESH structural recount: 59 -> 136 usable records, 10 -> 22 distinct Acts (59 + 75 new-usable + 2 promoted = 136). Coverage OUTCOME remains historical."
CHG-14,Evidence matcher - year-conflict veto on fuzzy matching,Fuzzy fallback compared act names only by significant-word overlap; years were invisible (act_significant_words drops digits),0e37525 / 223eb9d research/prototype/src/evidence_matcher.py match_evidence fuzzy loop,"Two same-named Acts differing ONLY by year ('Income Tax Act, 1961' vs 'Income-tax Act, 2025'; 'Arbitration Act, 1940' vs 'Arbitration and Conciliation Act, 1996') reduce to identical word sets and could fuzzy-cross-match at overlap 1.0 - legally distinct enactments",In-code comment on _YEAR_RE (adf54aa) citing outputs/evidence_v1_independent_audit.md section 5 and tests/test_adversarial_citations.py::test_year_edition_...; FINAL_PRODUCTION_CONFIG.md section 10 ('its one confirmed latent limitation (fuzzy matching was year-blind) was fixed 2026-09-07'),"adf54aa research/prototype/src/evidence_matcher.py (_YEAR_RE, _act_years, _year_conflict veto in the fuzzy candidate filter)","If both sides state an explicit, disjoint year the pair can never fuzzy-match at any overlap; a side with no stated year is unaffected",research/prototype/src/evidence_matcher.py @ fb4e98f (_year_conflict used by match_evidence and classify_no_evidence),PROMOTED_PRODUCTION,NONE for a data batch (explicitly 'not triggered in the shipped 136-record corpus'); regression tests research/prototype/tests/test_adversarial_citations.py (17 tests),YES - in-code comment and FINAL_PRODUCTION_CONFIG.md section 10,ENGINEERING,"Regression tests only - demonstrates the failure is blocked, but no data-batch measurement of how often it occurred in practice.",
CHG-15,Evidence matcher - NO_EVIDENCE taxonomy promoted into the library,An unmatched claim carried no reason; the 4-category taxonomy lived only in the offline scripts/audit_no_evidence_taxonomy_v2.py,0e37525 research/prototype/src/evidence_matcher.py (match_evidence returns match_method only); pipeline claim record had no no_evidence_category,Distinguishing 'parser could not resolve the act' from 'corpus genuinely lacks this provision' from 'different Act/edition' from 'possible normalization gap' required re-running a standalone script over already-produced outputs - an ablation-readiness gap,classify_no_evidence docstring (adf54aa); commit adf54aa: 'promote the NO_EVIDENCE taxonomy script into a reusable classify_no_evidence() function',adf54aa research/prototype/src/evidence_matcher.py classify_no_evidence() + src/pipeline.py claim field no_evidence_category,Every unmatched claim records one of 4 taxonomy categories at run time; the decision rule is identical to the validated script,research/prototype/src/evidence_matcher.py @ fb4e98f classify_no_evidence; src/pipeline.py generate_and_parse,PROMOTED_PRODUCTION,research/prototype/outputs/no_evidence_taxonomy_v2.json / no_evidence_taxonomy_v3.json; outputs/evidence_coverage_v0_vs_v1.json remaining_taxonomy; results_phase3 figure F20_no_evidence_taxonomy,"YES - commit message and docstring (instrumentation only, taxonomy rule unchanged)",BEHAVIORAL,Observational evidence from committed artifacts; not gold-labelled.,"V2 FRESH structural recount: 59 -> 136 usable records, 10 -> 22 distinct Acts (59 + 75 new-usable + 2 promoted = 136). Coverage OUTCOME remains historical."
CHG-16,Retrieval scoring - BM25 and embedding alternatives,"The fuzzy fallback had exactly one scoring function: Jaccard token overlap at threshold 0.8, with no config knob","0e37525 research/prototype/src/evidence_matcher.py; config/prototype.yaml evidence_matching (top_k, fuzzy_token_overlap_threshold only)","The corpus's 22 unique Act names mean Jaccard occasionally rejects legitimate shorthand ('Evidence Act', 'Corruption Act') that drops a qualifying word - Jaccard correct-accept is 19/21 (90.5%)",config/prototype.yaml evidence_matching comment; research/prototype/outputs/retrieval_signal_benchmark_report.md (pre-registered 21 should-match / 9 should-NOT-match cases),"6347c45 research/prototype/src/retrieval_signals.py (Bm25ActIndex, EmbeddingActIndex, best_match_among) + evidence_matcher.match_evidence(fuzzy_method, fuzzy_act_index, thresholds) + config keys fuzzy_method / fuzzy_bm25_threshold / fuzzy_embedding_threshold / embedding_model_id + requirements rank_bm25, sentence-transformers","Both alternatives are implemented, tested and kept installed, but fuzzy_method stays 'jaccard': BM25 never reaches 100% correct-reject at any threshold; embedding only at >=0.8, where its correct-accept (76%) is worse than Jaccard's 90.5%",research/prototype/config/prototype.yaml fuzzy_method: 'jaccard' (EVALUATED AND REJECTED comment); FINAL_RESEARCH_FREEZE_REPORT.md section D,EVALUATED_AND_REJECTED,"research/prototype/outputs/retrieval_signal_benchmark_report.md + retrieval_signal_benchmark_results.jsonl (jaccard 19/21 accept, 9/9 reject; bm25 21/21, 3/9; embedding 21/21, 2/9; full threshold sweeps); results_phase3/tables/detailed_metrics/retrieval_metrics.csv","YES - commit 6347c45, the config comment (per-method root cause) and the benchmark report",BEHAVIORAL,"Pre-registered adversarial set (21 should-match + 9 adversarial). The 9/9, 3/9, 2/9 rates are over the 9 adversarial cases, not over 30.",
CHG-17,Verifier - premise framing bare -> labeled,"The NLI premise was the statute text alone; apply_verification called verifier.verify(premise=rec['evidence_text'], ...)",0e37525 research/prototype/src/pipeline.py apply_verification; 0e37525 config/prototype.yaml (no premise_framing key),"Generated claims are attributed ('According to Section 302 of the IPC ...') but a bare premise never mentions Section 302, so half the claim is genuinely unsupported and the model correctly answers neutral - macro F1 0.749, ENTAILED recall 0.500 on the 420-item controlled benchmark",research/prototype/outputs/verifier_correction_diagnosis.md (2026-08-26 diagnosis); outputs/controlled_benchmark_deberta_metrics.json vs controlled_benchmark_deberta_labeled_metrics.json,fe8b15b research/prototype/src/verifier.py format_premise() + src/pipeline.py resolve_premise_framing/_premise_for_claim (added with default 'bare'); default flipped to 'labeled' in 100e263 config/prototype.yaml,Premise is '<Provision> <N> of <Act>: <statute text>' built from the MATCHED EVIDENCE record's own label (never the claim's own citation); falls back to the bare text if label parts are missing,research/prototype/config/prototype.yaml premise_framing: 'labeled'; src/verifier.py format_premise @ fb4e98f,PROMOTED_PRODUCTION,"research/prototype/outputs/controlled_benchmark_deberta*_metrics.json (macro F1 0.749->0.968, ENTAILED recall 0.500->1.000, McNemar p=4.16e-23); outputs/final_validation_bare_vs_labeled_cpu_metrics.json (147 real claims, ENTAILED 0->13); outputs/labeled_correction_validation_gpu_metrics.json (1 shipped correction vs 0 under bare on the same cases)",YES - FINAL_PRODUCTION_CONFIG.md section 1 (three convergent sources plus an honestly reported n=38 counter-signal),GOLD,Gold-labelled benchmark. See the attributed/non-attributed stratification caveat before quoting the headline.,
CHG-18,Verifier - explicit CPU device option,NLIVerifier hard-required CUDA and raised if torch.cuda.is_available() was False; fp16 always,0e37525 research/prototype/src/verifier.py NLIVerifier.load / verify,The offline controlled-verifier benchmark is pure NLI scoring with no co-resident generator and had no way to run without a GPU,"Docstring added in fe8b15b: 'Passing device=""cpu"" is an explicit opt-in used by the offline controlled-verifier benchmark ... It must be requested deliberately - never inferred from availability.'","fe8b15b research/prototype/src/verifier.py NLIVerifier.__init__(device=...), fp32 on CPU, explicit .to(self.device)",device still defaults to 'cuda' and still refuses a silent CPU fallback; device='cpu' is an explicit opt-in used by every CPU re-scoring benchmark since,research/prototype/src/verifier.py @ fb4e98f NLIVerifier.__init__ / load,INFRASTRUCTURE_ONLY,"Enabling infrastructure for outputs/controlled_benchmark_*, narrow_primary_hypothesis_benchmark, assertion_spans_primary_hypothesis_benchmark, final_validation_bare_vs_labeled_cpu_*",YES - docstring states the reason and the no-silent-fallback rule,GOLD,Gold-labelled benchmark. See the attributed/non-attributed stratification caveat before quoting the headline.,
CHG-19,Verifier - QwenLLMVerifier (alternative LLM verifier),Verification was DeBERTa-v3-base-mnli-fever-anli only,0e37525 research/prototype/src/verifier.py; config verification.model_id,'attribution prefixes (According to Section X...) and complex statutory paraphrasing cause small NLI models to falsely predict NOT_ENOUGH_INFORMATION' (module docstring); on natural data every evidence-matched claim came back NEI at ~0.99 confidence,research/prototype/src/llm_verifier.py module docstring; outputs/research_evaluation_final.md 'Key finding' (zero CONTRADICTED on natural data; all evidence-matched claims NEI),"54c98d2 research/prototype/src/llm_verifier.py (QwenLLMVerifier) + scripts/build_verifier_benchmark.py, scripts/run_verifier_benchmark.py, outputs/verifier_benchmark.jsonl (177-item benchmark set), tests/test_verifier_benchmark.py",Fully built but never wired into pipeline.py; production verification is still DeBERTa. The root cause was instead addressed by premise framing (CHG-17),research/prototype/evaluation/components/03_nli_verification/README.md ('a fully-built alternative verifier never wired into pipeline.py ... do not mistake it for a second production verification path'); evaluation/PROVENANCE.md,EXPERIMENTAL_NOT_PROMOTED,NONE (the committed verifier_benchmark.jsonl is the benchmark DATASET plus a runner script; no committed run results comparing QwenLLMVerifier against DeBERTa were found under outputs/),"YES for why it was built (module docstring); NO documented record of a measured comparison - absence stated, not inferred away",BEHAVIORAL,Observational evidence from committed artifacts; not gold-labelled.,
CHG-20,Verifier - silent premise-truncation detection,Tokenizer truncation at max_sequence_length=512 happened silently; VerificationResult had no truncation field,0e37525 research/prototype/src/verifier.py NLIVerifier.verify / VerificationResult,HF pair-truncation trims the END of the premise - exactly where a statute's trailing exception/proviso sits - with no trace in the output record. Confirmed inert on the current 136-record corpus (longest real record + claim ~354/512 tokens) but undetectable if it ever happened,"VerificationResult.input_truncated docstring (adf54aa); commit adf54aa: 'cheap input_truncated detection (extra tokenizer call, no second forward pass) so silent premise truncation is visible ... without changing verdict logic'",adf54aa research/prototype/src/verifier.py (untruncated tokenizer call + input_truncated field) and src/pipeline.py (input_truncated claim / reverification fields),Every verdict records whether its input was truncated; verdict logic unchanged (detection only - there is no mitigation),research/prototype/src/verifier.py @ fb4e98f NLIVerifier.verify,PROMOTED_PRODUCTION,NONE (no artifact reports a truncation count; documented as currently inert),YES - docstring and commit message,BEHAVIORAL,Observational evidence from committed artifacts; not gold-labelled.,
CHG-21,Verifier - raw softmax scores persisted in claim records,Only the argmax label + confidence (+ sub_reason) were stored; the full distribution was discarded,0e37525 research/prototype/src/pipeline.py generate_and_parse / apply_verification claim fields,"A low-confidence downgrade to NOT_ENOUGH_INFORMATION permanently discarded which raw label was argmax, so recomputing verdicts under another threshold or measuring calibration required re-running the model",In-code comment on the raw_scores field (adf54aa),"adf54aa research/prototype/src/pipeline.py (raw_scores on claims, reverification and sibling_regressions)",Every verified claim stores the full entailment/neutral/contradiction distribution; never read by any live decision,research/prototype/src/pipeline.py @ fb4e98f (raw_scores in generate_and_parse / apply_verification),PROMOTED_PRODUCTION,"NONE for this field itself (the committed sweep, outputs/threshold_sensitivity_analysis.md, replays the controlled benchmark's own stored distributions, not this record field)",YES - in-code comment states the ablation-readiness motivation,BEHAVIORAL,Observational evidence from committed artifacts; not gold-labelled.,V2 FRESH full sweep 0.34-0.99 from stored softmax: labeled leads at EVERY threshold (smallest gap 0.1916); production 0.70 sits on a flat plateau.
CHG-22,Verifier - narrow_primary_hypothesis (assertion_text as primary hypothesis),apply_verification always used the full claim_text as the NLI hypothesis; only correction re-verification could use the narrower assertion_text,100e263 research/prototype/src/pipeline.py apply_verification (hypothesis=rec['claim_text']),"Documented gap: 'the primary verification pass never uses the narrower assertion_text hypothesis - only [correction] re-verification does', named as one of three dominant blockers behind the 1.8% cumulative correction-shipping rate; bundled sentences dilute the hypothesis with sibling citations' content","research/prototype/outputs/final_limitations_and_future_scope.md section 3a (quoted in commit bb2cd93 and FINAL_PRODUCTION_CONFIG.md section 5); FINAL_PRODUCTION_CONFIG.md section 1 counter-signal paragraph (n=38 assumption set), which named this cause",bb2cd93 research/prototype/src/pipeline.py apply_verification(narrow_primary_hypothesis=...) + verified_hypothesis record field + config verification.narrow_primary_hypothesis (added AND defaulted true in the same commit),When a claim has a genuinely narrower assertion_text it becomes the hypothesis in the primary pass; never widens what counts as evidence-consistent,research/prototype/config/prototype.yaml narrow_primary_hypothesis: true; src/pipeline.py @ fb4e98f apply_verification,PROMOTED_PRODUCTION,"research/prototype/outputs/narrow_primary_hypothesis_benchmark_report.md + .jsonl (456 real claims, 107 applicable, 31 NEI->ENTAILED, 2 NEI->CONTRADICTED, 0 unsafe reversals); outputs/narrow_primary_hypothesis_gpu_ablation_report.md (fresh n=15: 1/12 recovered, correction never triggered); outputs/narrow_primary_hypothesis_gpu_ablation_16gb_report.md + _metrics.json (fresh n=62: 5/32 changed, sign test p~0.125, correction shipping 0/4 OLD vs 0/5 CURRENT)","YES - commit bb2cd93 and FINAL_PRODUCTION_CONFIG.md section 5, including the explicit 'correction shipping remains genuinely unmeasured' caveat",HISTORICAL,"Qwen-dependent and/or natural unlabelled data. RERUN_INFEASIBLE in this session (no GPU, Qwen uncached). Reused as historical evidence only.",
CHG-23,Verifier - assertion_span_primary_hypothesis ('respectively' claims),narrow_primary_hypothesis cannot narrow a 'respectively' claim: assertion_text stays equal to claim_text by construction for those,bb2cd93 research/prototype/src/pipeline.py apply_verification (assertion_text-only narrowing),"For 'respectively' claims the full bundled sentence remained the hypothesis, diluting it; one real case let a genuine generation error pass as NEI (Indian Evidence Act Section 27 content misattributed)",research/prototype/outputs/assertion_spans_primary_hypothesis_benchmark_report.md; FINAL_PRODUCTION_CONFIG.md section 5a,8cf8fa9 research/prototype/src/pipeline.py _assertion_spans_hypothesis() + apply_verification(assertion_span_primary_hypothesis=...) + config verification.assertion_span_primary_hypothesis: false + tests/test_assertion_span_primary_hypothesis.py,"Implemented, adversarially audited and left OFF: builds '<provision_type> <number> <description>' only when the 2-element span shape is unambiguous, else declines (fails closed)","research/prototype/config/prototype.yaml assertion_span_primary_hypothesis: false (EXPERIMENTAL, OFF BY DEFAULT comment); FINAL_RESEARCH_FREEZE_REPORT.md sections E/F",EXPERIMENTAL_NOT_PROMOTED,"research/prototype/outputs/assertion_spans_primary_hypothesis_benchmark_report.md + .jsonl (entire real population n=6: 4/6 changed verdict, 3 NEI->ENTAILED, 1 NEI->CONTRADICTED, 0 unsafe reversals); results_phase3/tables/detailed_metrics/assertion_span_verification_metrics.csv","YES - FINAL_PRODUCTION_CONFIG.md section 5a: 'n=6 is too small for a production decision, and this document says so explicitly rather than rounding up'",HISTORICAL,"Qwen-dependent and/or natural unlabelled data. RERUN_INFEASIBLE in this session (no GPU, Qwen uncached). Reused as historical evidence only.",
CHG-24,"Verifier - confidence_threshold (evaluated, deliberately unchanged)","confidence_threshold: 0.70, 'fixed by design (approved design doc), not calibrated'",0e37525 research/prototype/config/prototype.yaml verification.confidence_threshold,No failure found - the open question was whether 0.70 stayed defensible after premise framing changed the verdict distribution,research/prototype/outputs/threshold_sensitivity_analysis.md / .json (deterministic 0.50-0.95 sweep replayed over the 420-item benchmark's stored softmax distributions),100e263 config/prototype.yaml - COMMENT ONLY; the value was never changed anywhere in the history,"Still 0.70, documented as within 0.002 macro-F1 of the empirical optimum under both framings (labeled peak 0.968 @0.65-0.75, 0.70 inside the plateau)",research/prototype/config/prototype.yaml (UNCHANGED 2026-08-27 review comment); FINAL_PRODUCTION_CONFIG.md section 6,DOCS_ONLY,research/prototype/outputs/threshold_sensitivity_analysis.md + threshold_sensitivity_analysis.json; results_phase3 figure F12_confidence_threshold_sensitivity,"YES - FINAL_PRODUCTION_CONFIG.md section 6: 'No evidence anywhere in this project supports moving it, and per this task's explicit instruction, it was not moved merely to chase a metric'",BEHAVIORAL,Observational evidence from committed artifacts; not gold-labelled.,V2 FRESH full sweep 0.34-0.99 from stored softmax: labeled leads at EVERY threshold (smallest gap 0.1916); production 0.70 sits on a flat plateau.
CHG-25,Correction scope check - atomic_scope_check false -> 'assertion_spans',_scope_violation required every unflagged claim's FULL claim_text (the whole shared sentence) to reappear byte-for-byte in the corrected text,0e37525 research/prototype/src/pipeline.py _scope_violation,"On real natural data many claims share one bundled sentence, so any edit inside the flagged citation's own portion broke every sibling's check: 4 of 6 genuine (non-no-op) edits blocked as scope violations were substantively valid fixes (e.g. a wrong provision number corrected)","research/prototype/outputs/natural_candidates_50_gpu_report.md section 5 and natural_candidates_50_gpu_corrections_detail.jsonl, quoted in config/prototype.yaml and FINAL_PRODUCTION_CONFIG.md section 3","100e263 research/prototype/src/pipeline.py _scope_violation(use_assertion_text, use_assertion_spans) + config correction.atomic_scope_check false -> 'assertion_spans'",An unflagged claim is checked against its assertion_spans list (ALL fragments must survive); degrades to assertion_text and then to the full sentence when no narrower representation exists,research/prototype/config/prototype.yaml atomic_scope_check: 'assertion_spans'; src/pipeline.py @ fb4e98f _scope_violation,PROMOTED_PRODUCTION,"research/prototype/outputs/atomic_scope_check_replay.md, atomic_scope_check_replay_v2.md, atomic_scope_check_final_replay.md (11 real historical scope violations replayed: 1/11 unblocked; 0/6 additionally unblocked by assertion_spans over assertion_text); outputs/final_gpu_validation_metrics.json (0 unsafe shipments)","YES - FINAL_PRODUCTION_CONFIG.md section 3, including the honest caveat that this batch did not reproduce the 4/6 finding",HISTORICAL,"Qwen-dependent and/or natural unlabelled data. RERUN_INFEASIBLE in this session (no GPU, Qwen uncached). Reused as historical evidence only.",
CHG-26,Correction re-verification - narrow_reverification_hypothesis false -> true,Re-verification hypothesized the re-extracted replacement claim's full claim_text,fe8b15b research/prototype/src/pipeline.py apply_selective_correction (hypothesis=replacement.claim_text),"On a bundled sentence the full-sentence hypothesis is diluted by sibling content, keeping a genuinely correct narrow fix from reaching ENTAILED: measured 0.54 NOT_ENOUGH_INFORMATION on the full sentence vs 0.999 ENTAILED on the narrow fragment, same evidence, same corrected text",research/prototype/outputs/research_completion_report.md section 16a (quoted in config/prototype.yaml and FINAL_PRODUCTION_CONFIG.md section 4),100e263 research/prototype/src/pipeline.py (reverify_hypothesis + reverified_hypothesis record field) + config correction.narrow_reverification_hypothesis false -> true,Re-verification uses the replacement claim's own assertion_text when narrower; the ENTAILED-only shipping gate is unchanged,research/prototype/config/prototype.yaml narrow_reverification_hypothesis: true; src/pipeline.py @ fb4e98f,PROMOTED_PRODUCTION,"FINAL_PRODUCTION_CONFIG.md section 4 only (3 real correction_failed cases: 2 diluted NEI -> decisive CONTRADICTED, 1 borderline -> unambiguous NEI; 0 ship/reject outcomes changed). PROJECT_CONTEXT/04 grades this C (diagnostic); no standalone artifact file exists","YES - FINAL_PRODUCTION_CONFIG.md section 4 ('no harm found, real benefit found'), explicitly diagnostic-quality rather than shipping-rate evidence",HISTORICAL,"Qwen-dependent and/or natural unlabelled data. RERUN_INFEASIBLE in this session (no GPU, Qwen uncached). Reused as historical evidence only.",
CHG-27,Correction - replacement lookup by ordinal citation identity,"The replacement claim was the FIRST re-extracted claim whose (provision_type, provision_number, act_norm) matched the flagged claim (loop + break)",0e37525 research/prototype/src/pipeline.py apply_selective_correction,"A document can contain several claims citing the same provision, so citation identity alone is ambiguous between them",In-code comment added in 100e263 ('A document can contain MULTIPLE claims that cite the exact same provision ... Matching by ORDINAL POSITION among same-citation claims resolves this deterministically'); FINAL_PRODUCTION_CONFIG.md section 8,100e263 research/prototype/src/pipeline.py (_citation_identity + same-identity ordinal lookup),"The Nth same-identity claim in the baseline is matched to the Nth same-identity claim in the corrected text; always on, never a config toggle",research/prototype/src/pipeline.py @ fb4e98f apply_selective_correction; FINAL_PRODUCTION_CONFIG.md section 8,PROMOTED_PRODUCTION,"research/prototype/outputs/final_gpu_validation.md section 4 ('citation identity lost' failure category: every such case produced correction_failed with reverification null, never a false ship)",YES - in-code comment and FINAL_PRODUCTION_CONFIG.md section 8,HISTORICAL,"Qwen-dependent and/or natural unlabelled data. RERUN_INFEASIBLE in this session (no GPU, Qwen uncached). Reused as historical evidence only.",
CHG-28,Correction safety - sibling-regression re-verification net,No sibling re-verification existed; the only containment was the byte-for-byte scope check,0e37525 research/prototype/src/pipeline.py apply_selective_correction,"The relaxed (assertion_text/assertion_spans) scope check only requires a narrow fragment to survive, so a sibling claim's SURROUNDING text could change enough to alter what it entails while still passing the scope check",_reverify_sibling_regressions docstring (100e263); FINAL_PRODUCTION_CONFIG.md section 7,100e263 research/prototype/src/pipeline.py _reverify_sibling_regressions() + status 'correction_sibling_regression' + final_field source,"Whenever an atomic scope mode is on and the correction would otherwise ship, every other evidence-matched claim is re-parsed, re-matched and re-verified; any CONTRADICTED sibling rejects the correction (it can only ever reject)",research/prototype/src/pipeline.py @ fb4e98f _reverify_sibling_regressions; FINAL_PRODUCTION_CONFIG.md section 7,PROMOTED_PRODUCTION,research/prototype/outputs/final_gpu_validation_metrics.json (0 sibling regressions across 10 triggered corrections) and labeled_correction_validation_gpu_metrics.json (10); outputs/error_propagation_matrix.csv (2/10 first failures at this gate in the assertion-aware replay); results_phase3/tables/correction_safety/safety_results.csv,YES - docstring and FINAL_PRODUCTION_CONFIG.md section 7,HISTORICAL,"Qwen-dependent and/or natural unlabelled data. RERUN_INFEASIBLE in this session (no GPU, Qwen uncached). Reused as historical evidence only.",
CHG-29,Correction trigger - negation safety gate,Any CONTRADICTED verdict triggered automatic correction,0e37525 research/prototype/src/pipeline.py _should_trigger_correction / apply_selective_correction flagged list,Empirically confirmed on the real DeBERTa checkpoint with real IPC Section 302 evidence: a negated claim ('Neither Section 302 nor Section 304 ... applies') reaches CONTRADICTED at 0.998 while the same content phrased affirmatively reaches ENTAILED at 0.896 - so the pipeline could rewrite a truthful NEGATIVE legal conclusion into its opposite and ship it,FINAL_PRODUCTION_CONFIG.md section 8a; _NEGATION_MARKER_RE in-code comment (adf54aa); tests/test_correction_path_real_integration.py::test_negated_claim_reaches_contradicted_via_real_verifier_but_never_triggers_correction,"adf54aa research/prototype/src/pipeline.py (_NEGATION_MARKER_RE, _negation_marker_present, negation_contradiction_caveat claim field, exclusion from the flagged list)",A CONTRADICTED verdict matching a narrow lexical negation pattern is excluded from automatic correction; verdict/confidence untouched and visible for manual review,research/prototype/src/pipeline.py @ fb4e98f; FINAL_PRODUCTION_CONFIG.md section 8a,PROMOTED_PRODUCTION,"NONE for a data batch (real-model unit test only). results_phase3/LIMITATIONS.md records it as 'a documented, empirically-motivated exclusion rule rather than a general negation-understanding guarantee'",YES - FINAL_PRODUCTION_CONFIG.md section 8a gives the measured 0.998 vs 0.896 comparison,BEHAVIORAL,Observational evidence from committed artifacts; not gold-labelled.,
CHG-30,Correction scope check - word-boundary fragment matching,_scope_violation used plain Python 'in' substring containment for every required fragment,100e263 research/prototype/src/pipeline.py _scope_violation,"A bare provision-number fragment ('34', used by assertion_spans for the 'respectively' pattern) is trivially 'present' inside an unauthorized '134', so a corrector silently changing an unflagged sibling's section number could ship undetected - and _reverify_sibling_regressions does not catch it either (it skips siblings whose citation no longer re-extracts)",FINAL_PRODUCTION_CONFIG.md section 3 'Update 2026-09-08'; _fragment_present docstring; tests/test_pipeline_mock.py::test_assertion_spans_catches_sibling_provision_number_changed_to_a_superstring,"adf54aa research/prototype/src/pipeline.py _fragment_present(), used by both scope-check branches","Each fragment is matched with a word boundary anchored at whichever end is a word character - strictly tightening, never loosening, the check",research/prototype/src/pipeline.py @ fb4e98f _fragment_present,PROMOTED_PRODUCTION,NONE for a data batch ('never observed in any committed real-data run ... adversarially-discovered'); regression test cited above,YES - FINAL_PRODUCTION_CONFIG.md section 3 update and the docstring,BEHAVIORAL,Observational evidence from committed artifacts; not gold-labelled.,
CHG-31,Correction safety - unauthorized citation-addition guard,Scope enforcement only verified that EXISTING unflagged claims survived; nothing forbade introducing a NEW citation,100e263 research/prototype/src/pipeline.py _scope_violation / apply_selective_correction,A corrector that fixes the flagged claim but also hallucinates an extra never-requested citation (or swaps the flagged claim's own citation for a different provision) passed the scope check outright and could ship,FINAL_PRODUCTION_CONFIG.md section 8 'Also fixed in the same pass: (a)'; in-code comment; tests/test_pipeline_mock.py::test_correction_hallucinating_an_extra_new_citation_is_rejected_not_shipped,adf54aa research/prototype/src/pipeline.py (baseline citation-identity set check + status 'correction_unauthorized_addition' + final_field source),Any citation identity in the corrected text with no counterpart in the baseline rejects the correction before any re-verification work,research/prototype/src/pipeline.py @ fb4e98f apply_selective_correction,PROMOTED_PRODUCTION,NONE for a data batch (regression tests only); aggregated under 'safety_scope_citation_ordinal' in outputs/error_propagation_matrix.csv,YES - FINAL_PRODUCTION_CONFIG.md section 8 and in-code comment,BEHAVIORAL,Observational evidence from committed artifacts; not gold-labelled.,
