artifact_id,artifact_type,filename,ppt_variant,title,purpose,metric_contract_csv,source_artifact,dataset,n,system_model_names,baseline_or_modified,fresh_or_historical,evidence_grade,caveat,generation_script
D14,diagram,diagrams/D14_reference_baseline_rhetoricllama_out_of_scope.png,ppt_assets/diagrams/D14_reference_baseline_rhetoricllama_out_of_scope.png,Reference baseline context — RhetoricLLaMA / LegalSeg is a different task,Pre-empt the natural mentor question 'why not compare against the LegalSeg baseline?',"n/a (structural diagram, no plotted metric)",research/baseline/BASELINE.md; comparison_config.json,n/a (source code / configuration),n/a,Out-of-scope reference (not compared),Out-of-scope reference (not compared),FRESH (read from source at build time),n/a (structural),No quantitative comparison is made; only a one-row smoke test was ever run.,Output_phase_3_vedant/scripts/generate_diagrams.py
T01,table,tables/T01_headline_metrics.csv,tables/T01_headline_metrics.md,T01 — Headline metrics,"The numbers a mentor should take away, each with its class and evidence grade",metrics/M01_headline_baseline_vs_modified.csv; metrics/M24_evidence_pool_composition.csv; metrics/M15_safety_observations.csv; metrics/M23_component_test_matrix.csv,metrics/M01_headline_baseline_vs_modified.csv; metrics/M24_evidence_pool_composition.csv; metrics/M15_safety_observations.csv; metrics/M23_component_test_matrix.csv,see rows,see rows,NyayaMind v0 (pre-2026-08-27 baseline) vs NyayaMind (2026-08-27 production),baseline vs modified,see rows,see rows,GOLD rows carry real per-item labels; METRIC-ONLY rows describe natural data for which no correctness label exists anywhere in this project. The two classes are never averaged or combined.,Output_phase_3_vedant/scripts/build_tables.py
T02,table,tables/T02_baseline_vs_modified_comparison.csv,tables/T02_baseline_vs_modified_comparison.md,T02 — Baseline vs modified comparison (every supported measure),The complete list of measures where a baseline/modified comparison is actually supported,"metrics/M02..M07, M10, M14, M15, M25 (locked figure-data contracts)","metrics/M02..M07, M10, M14, M15, M25 (locked figure-data contracts)",see rows,see rows,NyayaMind v0 (pre-2026-08-27 baseline) vs NyayaMind (2026-08-27 production),baseline vs modified,see rows,see rows,"Rows marked METRIC-ONLY describe observed pipeline behaviour on unlabelled natural data. They are NOT accuracy, and a change in verdict counts is not evidence that more claims are legally correct.",Output_phase_3_vedant/scripts/build_tables.py
T03,table,tables/T03_ablation_results.csv,tables/T03_ablation_results.md,"T03 — Ablation results, all eight studied factors","Record what each design decision is actually evidenced by, including the gap",metrics/M16_ablation_matrix.csv (from evaluation/ablation/ABLATION_SUMMARY.json),metrics/M16_ablation_matrix.csv (from evaluation/ablation/ABLATION_SUMMARY.json),see rows,see rows,NyayaMind v0 (pre-2026-08-27 baseline) vs NyayaMind (2026-08-27 production),baseline vs modified,see rows,see rows,The joint_four_lever_isolation row is Grade E because that experiment does not exist anywhere in the project. No additive or interaction effect between the four production levers may be inferred from the other rows.,Output_phase_3_vedant/scripts/build_tables.py
T04,table,tables/T04_component_behaviour.csv,tables/T04_component_behaviour.md,T04 — Component behaviour and regression coverage,Show the behavioural test surface behind each pipeline stage,metrics/M23_component_test_matrix.csv,metrics/M23_component_test_matrix.csv,see rows,see rows,NyayaMind v0 (pre-2026-08-27 baseline) vs NyayaMind (2026-08-27 production),baseline vs modified,see rows,see rows,"Per-component counts OVERLAP where a test genuinely spans stages; 205 is the only authoritative, non-duplicated total. Never sum the component rows. A passing test is a SOFTWARE BEHAVIOUR result and says nothing about verifier accuracy or legal correctness.",Output_phase_3_vedant/scripts/build_tables.py
T05a,table,tables/T05a_correction_funnel.csv,tables/T05a_correction_funnel.md,T05a — Correction funnel by population,"Show where correction attempts stop, per population, never pooled",metrics/M13_correction_funnel.csv,metrics/M13_correction_funnel.csv,see rows,see rows,NyayaMind v0 (pre-2026-08-27 baseline) vs NyayaMind (2026-08-27 production),baseline vs modified,see rows,see rows,Synthetic and natural populations must never be pooled into a single shipping rate — synthetic claims are contradictory by construction. The natural cumulative row is a project-history rollup with no single reproducible protocol.,Output_phase_3_vedant/scripts/build_tables.py
T05b,table,tables/T05b_safety_observations.csv,tables/T05b_safety_observations.md,T05b — Observed safety-gate behaviour,Record what the safety layer actually did across the tested history,metrics/M15_safety_observations.csv,metrics/M15_safety_observations.csv,see rows,see rows,NyayaMind v0 (pre-2026-08-27 baseline) vs NyayaMind (2026-08-27 production),baseline vs modified,see rows,see rows,"0 observed unsafe shipments is an observation on a finite tested history of 122 correction attempts. It is NOT a proof that unsafe shipments are impossible, and no safety probability is claimed anywhere in this package.",Output_phase_3_vedant/scripts/build_tables.py
T06a,table,tables/T06a_gpu_reproduction_status.csv,tables/T06a_gpu_reproduction_status.md,T06a — GPU reproduction status,"Show which GPU-dependent results were independently reproduced, and on what",metrics/M22_gpu_reproduction_crosscheck.csv,metrics/M22_gpu_reproduction_crosscheck.csv,see rows,see rows,NyayaMind v0 (pre-2026-08-27 baseline) vs NyayaMind (2026-08-27 production),baseline vs modified,see rows,see rows,Exact reproduction under greedy decoding evidences pipeline determinism across machines. It adds no new statistical evidence and says nothing about legal correctness.,Output_phase_3_vedant/scripts/build_tables.py
T06b,table,tables/T06b_reproducibility_status_by_metric.csv,tables/T06b_reproducibility_status_by_metric.md,T06b — Reproducibility status of every metric contract in this package,"Let a reviewer see at a glance which numbers are fresh, historical, or unreproducible",METRIC_SOURCE_MAP.csv,METRIC_SOURCE_MAP.csv,see rows,see rows,NyayaMind v0 (pre-2026-08-27 baseline) vs NyayaMind (2026-08-27 production),baseline vs modified,see rows,see rows,FRESH means re-executed or re-derived in the evaluation workspace or in this package. HISTORICAL means the value is cited from a committed prior-session artifact and was NOT re-executed here — this package runs no experiments and no GPU work.,Output_phase_3_vedant/scripts/build_tables.py
T07,table,tables/T07_model_and_configuration_comparison.csv,tables/T07_model_and_configuration_comparison.md,T07 — Model and configuration comparison,"The definition of the two systems, read from the repository rather than described",research/prototype/config/prototype.yaml; research/prototype/archive/2026-08-27_presentation/final_comparison/comparison_config.json,research/prototype/config/prototype.yaml; research/prototype/archive/2026-08-27_presentation/final_comparison/comparison_config.json,see rows,see rows,NyayaMind v0 (pre-2026-08-27 baseline) vs NyayaMind (2026-08-27 production),baseline vs modified,see rows,see rows,"Both systems execute the identical pipeline code in research/prototype/src/. This is a configuration A/B on one project, not a comparison against an external system.",Output_phase_3_vedant/scripts/build_tables.py
