metric_csv,purpose,source_artifact,dataset,n,fresh_or_historical,evidence_grade,caveat,generation_script
M10_natural_147_framing_shift.csv,Premise-framing verdict shift on the same 147 evidence-matched natural claims,research/prototype/outputs/final_validation_bare_vs_labeled_cpu_metrics.json,final_validation Arm B evidence-matched subset,147,HISTORICAL (CPU verification-only re-run),B,"ENTAILED 0 -> 13 is a count of model verdicts reached, NOT of claims proven correct.",Output_phase_3_vedant/scripts/build_metric_tables.py
M11_confidence_by_verdict_588.csv,Verifier confidence per verdict on the 588-claim natural aggregate,research/prototype/evaluation/actual_outputs/natural_data_runs/588_claims/claims_588_metrics.json,588_claim_natural_aggregate,390 evidence-matched of 588,FRESH (CPU),n/a (descriptive),"Confidence is the NLI model's own softmax certainty, not correctness.",Output_phase_3_vedant/scripts/build_metric_tables.py
M12_confidence_threshold_sweep.csv,Deterministic threshold sweep (0.50-0.95) on GOLD-01 for both premise framings,research/prototype/outputs/threshold_sensitivity_analysis.json,GOLD-01_controlled_verifier_benchmark (stored softmax replay),420,"FRESH (deterministic replay, no re-inference)",B,"A sensitivity description, not a threshold search; production threshold was not changed on the strength of this sweep.",Output_phase_3_vedant/scripts/build_metric_tables.py
M13_correction_funnel.csv,"Correction funnel stage counts, five populations kept strictly separate",research/prototype/outputs/final_metrics.json ; research/prototype/outputs/final_gpu_validation_metrics.json ; research/prototype/outputs/labeled_correction_validation_gpu_metrics.json,synthetic + natural targeted + natural cumulative,59 / 209 / 56,HISTORICAL (GPU-dependent),C,"Synthetic and natural populations must never be pooled into one rate. The natural cumulative denominator is a project-history rollup, not one experiment.",Output_phase_3_vedant/scripts/build_metric_tables.py
M14_correction_outcomes.csv,Shipped / re-verification-failed / scope-rejected split per population,research/prototype/outputs/final_metrics.json ; research/prototype/outputs/final_gpu_validation_metrics.json ; research/prototype/outputs/labeled_correction_validation_gpu_metrics.json,synthetic + natural targeted + natural cumulative,59 / 209 / 56,HISTORICAL (GPU-dependent),C,"0/5 -> 1/10 is a directional, isolated-by-design shift, not a statistically supported rate.",Output_phase_3_vedant/scripts/build_metric_tables.py
M15_safety_observations.csv,Observed counts for each programmatic safety mechanism,research/prototype/outputs/final_metrics.json ; research/prototype/outputs/final_gpu_validation_metrics.json,all tested correction attempts,122,HISTORICAL,n/a (observed counts),"0 observed unsafe shipments is an observation on a finite tested history, not a proof that unsafe shipments are impossible.",Output_phase_3_vedant/scripts/build_metric_tables.py
M16_ablation_matrix.csv,"All eight ablation factors with evidence grade, isolation status and statistics",research/prototype/evaluation/ablation/ABLATION_SUMMARY.json ; research/prototype/evaluation/metrics/EVIDENCE_STRENGTH_MATRIX.csv,8 named ablation factors,varies (3-420),MIXED,A-E,"Grade communicates evidence strength (isolation + n + statistical support), not effect size. Grade E = the experiment does not exist.",Output_phase_3_vedant/scripts/build_metric_tables.py
M25_scope_gate_replay.csv,Deterministic scope-gate replay over 11 real historical scope violations,research/prototype/evaluation/ablation/scope_check_replay_fresh.json,11 real historical scope-violation correction attempts,11,FRESH REPRODUCTION (CPU),C,The replay stops at the scope gate. Whether the one unblocked case would actually ship an ENTAILED correction is NOT answered by this artifact.,Output_phase_3_vedant/scripts/build_metric_tables.py
M17_runtime_resource.csv,"Wall-clock runtime and peak VRAM per experiment arm, GPU and CPU rows separated",research/prototype/outputs/final_gpu_validation_metrics.json ; research/prototype/outputs/final_metrics.json ; research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json ; research/prototype/evaluation/actual_outputs/gpu_209_reproduction/step10b_final_gpu_validation_metrics.json ; research/prototype/evaluation/actual_outputs/gpu_correction_rerun/labeled_correction_validation_gpu_metrics.fresh.json,mixed experiment arms,50 / 59 / 10 / 420,MIXED (GPU historical + fresh; CPU fresh),n/a (resource measure),"Wall-clock time is a hardware/thermal/load measure, not a correctness measure. GPU and CPU arms are never compared as if equivalent.",Output_phase_3_vedant/scripts/build_metric_tables.py
M18_natural_regimes_coverage.csv,"Observed evidence coverage across every natural-data regime, never pooled",research/prototype/evaluation/actual_outputs/natural_data_runs/batches/batches_analysis.json ; research/prototype/evaluation/actual_outputs/natural_data_runs/209_paired/paired_209_metrics.json ; research/prototype/evaluation/actual_outputs/natural_data_runs/588_claims/claims_588_metrics.json,11 natural-data regimes,29-588 per regime,"MIXED (3 FRESH, 8 HISTORICAL)",n/a (descriptive),Regimes differ in case selection and configuration; the spread is not a trend.,Output_phase_3_vedant/scripts/build_metric_tables.py
M19_synthetic_vs_natural_transfer.csv,"Synthetic vs natural correction shipping rates, explicitly marked non-equivalent",research/prototype/outputs/final_metrics.json,synthetic stress vs natural corpus,36 / 56 / 10,HISTORICAL (GPU),D,Disjoint populations with different base rates by construction. 72.2% and 1.8% do NOT measure the same capability and must never be plotted as a single trend.,Output_phase_3_vedant/scripts/build_metric_tables.py
M20_no_evidence_taxonomy.csv,"Why claims resolve to NO_EVIDENCE, across all 797 claims in project history",research/prototype/outputs/no_evidence_taxonomy_v3.json,797 pooled claims from every natural experiment,797 (260 NO_EVIDENCE),HISTORICAL (audit re-run),B,A NO_EVIDENCE claim is not shown to be wrong — the corpus is ~140 provisions and most citations simply fall outside it.,Output_phase_3_vedant/scripts/build_metric_tables.py
M21_parser_fix_n30.csv,Claim-parser fix (commit 223eb9d) re-parse of the same 30 generated texts,research/prototype/outputs/parser_fix_before_after_n30.json ; research/prototype/evaluation/ablation/ABLATION_SUMMARY.json,n30_reparse,30 cases / 88 vs 93 claims,HISTORICAL REPRODUCTION (code change not re-executed; statistic recomputed fresh),B,"This is a code-version ablation, not a configuration ablation, and is measured separately from the four production levers.",Output_phase_3_vedant/scripts/build_metric_tables.py
M22_gpu_reproduction_crosscheck.csv,Historical vs freshly-reproduced GPU experiment values (STEP 10 / 10B),research/prototype/outputs/final_gpu_validation_metrics.json ; research/prototype/evaluation/actual_outputs/gpu_209_reproduction/step10b_final_gpu_validation_metrics.json ; research/prototype/outputs/labeled_correction_validation_gpu_metrics.json ; research/prototype/evaluation/actual_outputs/gpu_correction_rerun/labeled_correction_validation_gpu_metrics.fresh.json,209-claim paired + 10-case targeted correction,209 / 10,FRESH GPU REPRODUCTION vs HISTORICAL,A (reproducibility only),Exact reproduction under greedy decoding evidences pipeline stability across machines. It adds no new statistical evidence about legal correctness.,Output_phase_3_vedant/scripts/build_metric_tables.py
M23_component_test_matrix.csv,Per-component test counts and representative behaviour cases,research/prototype/evaluation/metrics/COMPONENT_TEST_MATRIX.csv,research/prototype/tests/,205 authoritative total,FRESH (re-run for this package: 205 passed),n/a (software behaviour),Per-component counts overlap where tests span stages; 205 is the only authoritative non-duplicated total — never sum the component rows.,Output_phase_3_vedant/scripts/build_metric_tables.py
M24_evidence_pool_composition.csv,"Usable canonical-evidence pool size for each system, loaded live from source",research/prototype/config/prototype.yaml,research/data/evidence/,59 vs 136 usable records,FRESH (computed live via the unmodified production loader),A,Only VERIFIED_EXACT / VERIFIED_CONTENT audit verdicts are usable; SOURCE_ONLY / INVALID / UNRESOLVED are excluded by design.,Output_phase_3_vedant/scripts/build_metric_tables.py
