artifact,source,purpose,data,generation_method,status
M10_natural_147_framing_shift.csv,research/prototype/outputs/final_validation_bare_vs_labeled_cpu_metrics.json,Premise-framing verdict shift on the same 147 evidence-matched natural claims,final_validation Arm B evidence-matched subset (n=147),Output_phase_3_vedant/scripts/build_metric_tables.py,"HISTORICAL (CPU verification-only re-run), grade B -- ENTAILED 0 -> 13 is a count of model verdicts reached, NOT of claims proven correct."
M11_confidence_by_verdict_588.csv,research/prototype/evaluation/actual_outputs/natural_data_runs/588_claims/claims_588_metrics.json,Verifier confidence per verdict on the 588-claim natural aggregate,588_claim_natural_aggregate (n=390 evidence-matched of 588),Output_phase_3_vedant/scripts/build_metric_tables.py,"FRESH (CPU), grade n/a (descriptive) -- Confidence is the NLI model's own softmax certainty, not correctness."
M12_confidence_threshold_sweep.csv,research/prototype/outputs/threshold_sensitivity_analysis.json,Deterministic threshold sweep (0.50-0.95) on GOLD-01 for both premise framings,GOLD-01_controlled_verifier_benchmark (stored softmax replay) (n=420),Output_phase_3_vedant/scripts/build_metric_tables.py,"FRESH (deterministic replay, no re-inference), grade B -- A sensitivity description, not a threshold search; production threshold was not changed on the strength of this sweep."
M13_correction_funnel.csv,research/prototype/outputs/final_metrics.json ; research/prototype/outputs/final_gpu_validation_metrics.json ; research/prototype/outputs/labeled_correction_validation_gpu_metrics.json,"Correction funnel stage counts, five populations kept strictly separate",synthetic + natural targeted + natural cumulative (n=59 / 209 / 56),Output_phase_3_vedant/scripts/build_metric_tables.py,"HISTORICAL (GPU-dependent), grade C -- Synthetic and natural populations must never be pooled into one rate. The natural cumulative denominator is a project-history rollup, not one experiment."
M14_correction_outcomes.csv,research/prototype/outputs/final_metrics.json ; research/prototype/outputs/final_gpu_validation_metrics.json ; research/prototype/outputs/labeled_correction_validation_gpu_metrics.json,Shipped / re-verification-failed / scope-rejected split per population,synthetic + natural targeted + natural cumulative (n=59 / 209 / 56),Output_phase_3_vedant/scripts/build_metric_tables.py,"HISTORICAL (GPU-dependent), grade C -- 0/5 -> 1/10 is a directional, isolated-by-design shift, not a statistically supported rate."
M15_safety_observations.csv,research/prototype/outputs/final_metrics.json ; research/prototype/outputs/final_gpu_validation_metrics.json,Observed counts for each programmatic safety mechanism,all tested correction attempts (n=122),Output_phase_3_vedant/scripts/build_metric_tables.py,"HISTORICAL, grade n/a (observed counts) -- 0 observed unsafe shipments is an observation on a finite tested history, not a proof that unsafe shipments are impossible."
M16_ablation_matrix.csv,research/prototype/evaluation/ablation/ABLATION_SUMMARY.json ; research/prototype/evaluation/metrics/EVIDENCE_STRENGTH_MATRIX.csv,"All eight ablation factors with evidence grade, isolation status and statistics",8 named ablation factors (n=varies (3-420)),Output_phase_3_vedant/scripts/build_metric_tables.py,"MIXED, grade A-E -- Grade communicates evidence strength (isolation + n + statistical support), not effect size. Grade E = the experiment does not exist."
M25_scope_gate_replay.csv,research/prototype/evaluation/ablation/scope_check_replay_fresh.json,Deterministic scope-gate replay over 11 real historical scope violations,11 real historical scope-violation correction attempts (n=11),Output_phase_3_vedant/scripts/build_metric_tables.py,"FRESH REPRODUCTION (CPU), grade C -- The replay stops at the scope gate. Whether the one unblocked case would actually ship an ENTAILED correction is NOT answered by this artifact."
M17_runtime_resource.csv,research/prototype/outputs/final_gpu_validation_metrics.json ; research/prototype/outputs/final_metrics.json ; research/prototype/evaluation/actual_outputs/gold_benchmark_runs/gold01_controlled/gold01_metrics.json ; research/prototype/evaluation/actual_outputs/gpu_209_reproduction/step10b_final_gpu_validation_metrics.json ; research/prototype/evaluation/actual_outputs/gpu_correction_rerun/labeled_correction_validation_gpu_metrics.fresh.json,"Wall-clock runtime and peak VRAM per experiment arm, GPU and CPU rows separated",mixed experiment arms (n=50 / 59 / 10 / 420),Output_phase_3_vedant/scripts/build_metric_tables.py,"MIXED (GPU historical + fresh; CPU fresh), grade n/a (resource measure) -- Wall-clock time is a hardware/thermal/load measure, not a correctness measure. GPU and CPU arms are never compared as if equivalent."
M18_natural_regimes_coverage.csv,research/prototype/evaluation/actual_outputs/natural_data_runs/batches/batches_analysis.json ; research/prototype/evaluation/actual_outputs/natural_data_runs/209_paired/paired_209_metrics.json ; research/prototype/evaluation/actual_outputs/natural_data_runs/588_claims/claims_588_metrics.json,"Observed evidence coverage across every natural-data regime, never pooled",11 natural-data regimes (n=29-588 per regime),Output_phase_3_vedant/scripts/build_metric_tables.py,"MIXED (3 FRESH, 8 HISTORICAL), grade n/a (descriptive) -- Regimes differ in case selection and configuration; the spread is not a trend."
M19_synthetic_vs_natural_transfer.csv,research/prototype/outputs/final_metrics.json,"Synthetic vs natural correction shipping rates, explicitly marked non-equivalent",synthetic stress vs natural corpus (n=36 / 56 / 10),Output_phase_3_vedant/scripts/build_metric_tables.py,"HISTORICAL (GPU), grade D -- Disjoint populations with different base rates by construction. 72.2% and 1.8% do NOT measure the same capability and must never be plotted as a single trend."
M20_no_evidence_taxonomy.csv,research/prototype/outputs/no_evidence_taxonomy_v3.json,"Why claims resolve to NO_EVIDENCE, across all 797 claims in project history",797 pooled claims from every natural experiment (n=797 (260 NO_EVIDENCE)),Output_phase_3_vedant/scripts/build_metric_tables.py,"HISTORICAL (audit re-run), grade B -- A NO_EVIDENCE claim is not shown to be wrong — the corpus is ~140 provisions and most citations simply fall outside it."
M21_parser_fix_n30.csv,research/prototype/outputs/parser_fix_before_after_n30.json ; research/prototype/evaluation/ablation/ABLATION_SUMMARY.json,Claim-parser fix (commit 223eb9d) re-parse of the same 30 generated texts,n30_reparse (n=30 cases / 88 vs 93 claims),Output_phase_3_vedant/scripts/build_metric_tables.py,"HISTORICAL REPRODUCTION (code change not re-executed; statistic recomputed fresh), grade B -- This is a code-version ablation, not a configuration ablation, and is measured separately from the four production levers."
M22_gpu_reproduction_crosscheck.csv,research/prototype/outputs/final_gpu_validation_metrics.json ; research/prototype/evaluation/actual_outputs/gpu_209_reproduction/step10b_final_gpu_validation_metrics.json ; research/prototype/outputs/labeled_correction_validation_gpu_metrics.json ; research/prototype/evaluation/actual_outputs/gpu_correction_rerun/labeled_correction_validation_gpu_metrics.fresh.json,Historical vs freshly-reproduced GPU experiment values (STEP 10 / 10B),209-claim paired + 10-case targeted correction (n=209 / 10),Output_phase_3_vedant/scripts/build_metric_tables.py,"FRESH GPU REPRODUCTION vs HISTORICAL, grade A (reproducibility only) -- Exact reproduction under greedy decoding evidences pipeline stability across machines. It adds no new statistical evidence about legal correctness."
M23_component_test_matrix.csv,research/prototype/evaluation/metrics/COMPONENT_TEST_MATRIX.csv,Per-component test counts and representative behaviour cases,research/prototype/tests/ (n=205 authoritative total),Output_phase_3_vedant/scripts/build_metric_tables.py,"FRESH (re-run for this package: 205 passed), grade n/a (software behaviour) -- Per-component counts overlap where tests span stages; 205 is the only authoritative non-duplicated total — never sum the component rows."
M24_evidence_pool_composition.csv,research/prototype/config/prototype.yaml,"Usable canonical-evidence pool size for each system, loaded live from source",research/data/evidence/ (n=59 vs 136 usable records),Output_phase_3_vedant/scripts/build_metric_tables.py,"FRESH (computed live via the unmodified production loader), grade A -- Only VERIFIED_EXACT / VERIFIED_CONTENT audit verdicts are usable; SOURCE_ONLY / INVALID / UNRESOLVED are excluded by design."
"results_phase3/tables/ablation/ablation_results.csv (5 new rows: narrow_primary_hypothesis, assertion_span_primary_hypothesis, retrieval_fuzzy_method_bm25/embedding, correction_assertion_aware)",research/prototype/outputs/narrow_primary_hypothesis_gpu_ablation_16gb_metrics.json ; research/prototype/outputs/assertion_spans_primary_hypothesis_benchmark.jsonl ; research/prototype/outputs/retrieval_signal_benchmark_results.jsonl ; research/prototype/outputs/assertion_aware_correction_experiment_comparison.json,Extends the archived ablation table with every lever evaluated since 2026-09-06,narrow_primary_hypothesis (n=62) ; assertion_span_primary_hypothesis (n=6) ; retrieval BM25/embedding (n=30 pre-registered cases) ; assertion-aware correction (n=10),scripts/build_results_phase3_tables.py,"FRESH (2026-09-12), grades B/C -- see ablation_results.md for per-row caveats"
results_phase3/tables/correction_safety/correction_funnel.csv (4 new rows),research/prototype/outputs/narrow_primary_hypothesis_gpu_ablation_16gb_metrics.json ; research/prototype/outputs/assertion_aware_correction_experiment_comparison.json,Extends the archived correction funnel with the n=62 fresh batch and the n=10 legacy-vs-assertion-aware paired replay,n=62 (OLD/CURRENT arms) ; n=10 paired (LEGACY/ASSERTION-AWARE),scripts/build_results_phase3_tables.py,"FRESH (2026-09-12), grade B"
results_phase3/tables/correction_safety/safety_results.csv (8 new rows),research/prototype/outputs/assertion_aware_correction_experiment_comparison.json ; research/prototype/outputs/error_propagation_matrix.csv ; research/prototype/outputs/retrieval_signal_benchmark_results.jsonl ; research/prototype/outputs/assertion_spans_primary_hypothesis_benchmark.jsonl,Extends the archived safety table with every safety-relevant observation from work done since 2026-09-06,n=10 assertion-aware ; n=30 retrieval adversarial ; n=6 assertion-span verification,scripts/build_results_phase3_tables.py,"FRESH (2026-09-12), grade A (0 unsafe shipments observed)"
results_phase3/tables/detailed_metrics/retrieval_metrics.csv,research/prototype/outputs/retrieval_signal_benchmark_results.jsonl,Jaccard vs BM25 vs embedding correct-accept/correct-reject rates,"136-record evidence pool, 21 should-match + 9 should-not-match pre-registered cases",scripts/build_results_phase3_tables.py,"HISTORICAL (CPU, no GPU dependency), grade B"
results_phase3/tables/detailed_metrics/assertion_span_verification_metrics.csv,research/prototype/outputs/assertion_spans_primary_hypothesis_benchmark.jsonl,Per-case baseline vs assertion_spans-built hypothesis verdicts,n=6 real 'respectively' claims,scripts/build_results_phase3_tables.py,"HISTORICAL (CPU DeBERTa, 2026-09-11), grade C (n too small to promote)"
results_phase3/tables/component_results/component_comparison.csv,"research/prototype/config/prototype.yaml ; FINAL_PRODUCTION_CONFIG.md ; research/prototype/src/{pipeline,corrector,claim_parser,evidence_matcher,verifier}.py",Component-by-component Baseline vs Modified NyayaMind comparison (spec-required deliverable),"n/a (architecture/config description, cross-referencing the experiments above for 'Observed Effect')","scripts/build_results_phase3_tables.py (hand-authored rows, cross-checked against source code)","DESCRIPTIVE / ENGINEERING, confirmed against actual source code"
results_phase3/figures/08_natural_data/narrow_primary_hypothesis_verdict_shift.png,research/prototype/outputs/narrow_primary_hypothesis_gpu_ablation_16gb_metrics.json,"Verdict distribution shift, OLD vs CURRENT arm","n=62 documents, 32 evidence-matched claims/arm",scripts/build_results_phase3_figures.py,"FRESH (GPU, 2026-09-12)"
results_phase3/figures/03_evidence_retrieval/retrieval_method_safety_comparison.png,research/prototype/outputs/retrieval_signal_benchmark_results.jsonl,Jaccard/BM25/embedding correct-accept vs correct-reject rates,30 pre-registered cases x 3 methods = 90 records,scripts/build_results_phase3_figures.py,HISTORICAL (CPU)
results_phase3/figures/02_verifier/assertion_span_verification_shift.png,research/prototype/outputs/assertion_spans_primary_hypothesis_benchmark.jsonl,"Verdict shift, full-sentence vs assertion_spans-built hypothesis",n=6 real 'respectively' claims,scripts/build_results_phase3_figures.py,"HISTORICAL (CPU DeBERTa, 2026-09-11)"
results_phase3/figures/05_correction/assertion_aware_vs_legacy_correction_funnel.png,research/prototype/outputs/assertion_aware_correction_experiment_comparison.json,"Shipped vs rejected, legacy vs assertion-aware",n=10 paired real attempts,scripts/build_results_phase3_figures.py,"FRESH (GPU, 2026-09-12)"
results_phase3/figures/05_correction/error_propagation_first_failure_stage.png,research/prototype/outputs/error_propagation_matrix.csv,First-failing pipeline stage per correction attempt,n=10 paired real attempts,scripts/build_results_phase3_figures.py,"FRESH (GPU, 2026-09-12), derived programmatically"
results_phase3/diagrams/04_correction/assertion_aware_correction_splice_flow.png,"research/prototype/src/pipeline.py (apply_selective_correction_assertion_aware, _correction_target_spans, _splice_assertion_correction) ; research/prototype/src/corrector.py (correct_assertion_span)",Splice-based correction flow diagram (the one new diagram not in the archived package),n/a (architecture diagram),scripts/build_results_phase3_diagrams.py,"Confirmed against actual source code, 2026-09-12"
