metric,value,dataset,n,methodology,statistically_defensible,limitations,source_path
claims -- final_labeled_v1_assertionspans_narrow_CPUVERIFY,147,final_validation_bare_vs_labeled_cpu_metrics.json,50,Deterministic claim extraction (claim_parser.py) over real generated text.,True,,section_B_natural_regimes.final_labeled_v1_assertionspans_narrow_CPUVERIFY.n_claims
evidence-matched claims -- final_labeled_v1_assertionspans_narrow_CPUVERIFY,147,final_validation_bare_vs_labeled_cpu_metrics.json,50,Exact-normalized + fuzzy match against usable evidence pool.,True,,section_B_natural_regimes.final_labeled_v1_assertionspans_narrow_CPUVERIFY.n_matched
verdict count [NOT_ENOUGH_INFORMATION] -- final_labeled_v1_assertionspans_narrow_CPUVERIFY,131,final_validation_bare_vs_labeled_cpu_metrics.json,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.final_labeled_v1_assertionspans_narrow_CPUVERIFY.verdict_counts.NOT_ENOUGH_INFORMATION
verdict count [ENTAILED] -- final_labeled_v1_assertionspans_narrow_CPUVERIFY,13,final_validation_bare_vs_labeled_cpu_metrics.json,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.final_labeled_v1_assertionspans_narrow_CPUVERIFY.verdict_counts.ENTAILED
verdict count [CONTRADICTED] -- final_labeled_v1_assertionspans_narrow_CPUVERIFY,3,final_validation_bare_vs_labeled_cpu_metrics.json,50,Real DeBERTa-v3 NLI verification against matched evidence.,True,"Verdict is model output, not legal ground truth.",section_B_natural_regimes.final_labeled_v1_assertionspans_narrow_CPUVERIFY.verdict_counts.CONTRADICTED
"NO_EVIDENCE rate (claims with citation, no match)",260,"natural, all experiments pooled",797,"797 claims re-extracted with current parser, matched against current v0+v1 pool.",True,NO_EVIDENCE = not in our 136-record corpus; never equated with legal falsehood.,section_C_parser_retrieval.n_no_evidence_with_citation
NO_EVIDENCE taxonomy [genuinely_absent_wrong_act_or_edition],78,"natural, all experiments pooled",797,Manual+programmatic taxonomy of all 260 NO_EVIDENCE claims.,True,,section_C_parser_retrieval.taxonomy.genuinely_absent_wrong_act_or_edition
NO_EVIDENCE taxonomy [genuinely_absent_no_such_provision_any_act],140,"natural, all experiments pooled",797,Manual+programmatic taxonomy of all 260 NO_EVIDENCE claims.,True,,section_C_parser_retrieval.taxonomy.genuinely_absent_no_such_provision_any_act
NO_EVIDENCE taxonomy [unresolved_act],40,"natural, all experiments pooled",797,Manual+programmatic taxonomy of all 260 NO_EVIDENCE claims.,True,,section_C_parser_retrieval.taxonomy.unresolved_act
NO_EVIDENCE taxonomy [parser_or_matcher_defect_candidate],2,"natural, all experiments pooled",797,Manual+programmatic taxonomy of all 260 NO_EVIDENCE claims.,True,,section_C_parser_retrieval.taxonomy.parser_or_matcher_defect_candidate
"contradiction recall (overall, bare, synthetic)",35.6,synthetic,59,corrupted claims correctly flagged CONTRADICTED / total corrupted.,True,Synthetic corruption only.,section_A_synthetic.bare.contradiction_recall_overall
"contradiction recall (overall, labeled, synthetic)",45.8,synthetic,59,"same as above, labeled framing.",True,Synthetic corruption only.,section_A_synthetic.labeled.contradiction_recall_overall
false-positive rate (unflagged true claim wrongly CONTRADICTED),0.0,"synthetic, bare",59,c2 (paired true claim) verdict counts.,True,Synthetic corruption only; 0.0 in both framings.,section_A_synthetic.bare.false_positive_rate_c2
false-positive rate (labeled),0.0,"synthetic, labeled",59,same.,True,,section_A_synthetic.labeled.false_positive_rate_c2
"total correction attempts (cumulative, natural)",56,"natural, all history",,Cross-checked: fresh recount from every raw jsonl matches final_metrics.json exactly.,True,,section_D_correction_safety_cumulative.total_correction_attempts
"correction attempts (synthetic, bare+labeled)",66,synthetic,59,framing_comparison_gpu_n59_postfix_metrics.json,True,,correction_safety_audit.synthetic.n_correction_attempts
total shipped corrections (natural),1,"natural, all history",,,True,"n=1 -- a proof of existence, not a rate.",section_D_correction_safety_cumulative.total_shipped
"total unsafe shipments (natural+synthetic, all history)",0,"natural+synthetic, all history",122,Checked against every single correction attempt via the status=='corrected' <=> reverification.verdict=='ENTAILED' invariant.,True,,correction_safety_audit.combined_total_unsafe_shipped
"correction status [correction_failed] (natural, cumulative)",37,"natural, all history",,,True,,section_D_correction_safety_cumulative.status_breakdown.correction_failed
"correction status [correction_scope_violation] (natural, cumulative)",18,"natural, all history",,,True,,section_D_correction_safety_cumulative.status_breakdown.correction_scope_violation
"correction status [corrected] (natural, cumulative)",1,"natural, all history",,,True,,section_D_correction_safety_cumulative.status_breakdown.corrected
sibling regressions found (natural),0,"natural, all history",,sibling_regressions field checked on every correction attempt record.,True,0 found -- the safety net has not yet had to reject anything on this basis.,correction_safety_audit.natural.n_attempts_with_sibling_regression_flagged
"unflagged-claim preservation (batch1, bare)",45/45 = 100%,"natural, batch1 bare",50,See final_gpu_validation.md SS4 for full per-claim breakdown.,True,"Per-batch, not pooled across all batches.","N/A (narrative report, not in computed_metrics.json)"
"unflagged-claim preservation (batch1, labeled)",83/107 = 77.6%,"natural, batch1 labeled",50,same.,True,,N/A (narrative report)
citation-identity preservation,"always-on, not independently toggleable",all modes,,"src/pipeline.py _citation_identity(); every disturbance produces correction_failed, never a false ship.",True,"Structural guarantee, not a measured rate.","N/A (code invariant, see FINAL_PRODUCTION_CONFIG.md SS7)"
"atomic_scope_check unlocking rate (batch1, historical motivation)",4/6 genuine edits unblocked,"natural, batch1 (legacy vs relaxed scope check, offline replay)",50,outputs/natural_candidates_50_gpu_report.md SS5.,True,This specific finding was not reproduced on the final validation batch's 2 scope-violation cases (both stayed rejected).,N/A (narrative report)
evidence corpus: distinct acts (v0),11,v0 evidence corpus,63,Direct count over canonical_statutes.jsonl.,True,,evidence_corpus_composition.v0.n_distinct_acts
evidence corpus: distinct acts (v0+v1 combined),22,v0+v1 combined,142,"Direct count, merge rule replicated from src/data_loader.py.",True,,evidence_corpus_composition.combined_v0_plus_v1.n_distinct_acts
"evidence corpus: usable records (v0+v1, production)",136,"v0+v1, post-audit-fix",,final_metrics.json / config/prototype.yaml comments.,True,Differs from this file's own raw-merge count (145) which predates the 2026-08-27 audit fix -- see evidence_corpus_composition.notes.,final_metrics_passthrough (136-record pool)
threshold sensitivity: macro_f1 at production threshold (bare),0.7486646586649771,"controlled benchmark, bare",420,"Deterministic replay, no re-inference.",True,,threshold_sensitivity.bare.sweep[threshold=0.7].macro_f1
threshold sensitivity: macro_f1 at production threshold (labeled),0.9683612674297156,"controlled benchmark, labeled",420,same.,True,,threshold_sensitivity.labeled.sweep[threshold=0.7].macro_f1
bare agreement with provisional assumption labels,52.6,"PROVISIONAL, not lawyer-verified",38,"PROVISIONAL/ASSUMPTION-BASED -- assumption_annotation.jsonl is Claude-generated provisional labeling, NOT lawyer-verified ground truth. Describes agreement between two machine-produced label sets. bare_verdict reused verbatim from assumption_annotation.jsonl (not recomputed); labeled_verdict is a fresh CPU DeBERTa call against the same stored evidence text, this session.",False,"assumption_annotation.jsonl is Claude-generated provisional labeling, NOT lawyer-verified ground truth. These numbers describe agreement between two machine-produced label sets and MUST NOT be presented as validated legal accuracy.",assumption_gold_provisional.bare_agreement_with_assumption.pct
labeled agreement with provisional assumption labels,47.4,"PROVISIONAL, not lawyer-verified",38,"PROVISIONAL/ASSUMPTION-BASED -- assumption_annotation.jsonl is Claude-generated provisional labeling, NOT lawyer-verified ground truth. Describes agreement between two machine-produced label sets. bare_verdict reused verbatim from assumption_annotation.jsonl (not recomputed); labeled_verdict is a fresh CPU DeBERTa call against the same stored evidence text, this session.",False,"assumption_annotation.jsonl is Claude-generated provisional labeling, NOT lawyer-verified ground truth. These numbers describe agreement between two machine-produced label sets and MUST NOT be presented as validated legal accuracy.",assumption_gold_provisional.labeled_agreement_with_assumption.pct
retrieval precision against independently-labeled false-match ground truth,NOT MEASURABLE WITH CURRENT DATA,N/A,N/A,No independent human/lawyer annotation of 'is this match actually the right provision' exists at scale; only a match-method proxy (exact_normalized vs fuzzy ratio) and manual CONTRADICTED-verdict spot review exist.,False,Would require dedicated lawyer/expert annotation of a retrieval-correctness sample; out of scope for this project to date.,N/A
verifier accuracy against lawyer-verified legal ground truth,NOT MEASURABLE WITH CURRENT DATA,N/A,N/A,No lawyer/professional-legal ground-truth evaluation of verifier accuracy has been run as of 2026-08-27 (see research/prototype/README.md 'Known limitations').,False,"assumption_annotation.jsonl is Claude-generated, explicitly not a substitute.",N/A
"natural correction shipped rate as a stable, generalizable rate",NOT STATISTICALLY DEFENSIBLE AS A RATE,"natural, final production regime",10,n=1 shipped / 10 triggered.,False,"Too small a sample to treat as a stable rate; reported as a proof-of-existence data point, not a percentage claim.",final_metrics_passthrough.section_B_natural_regimes.final_labeled_v1_assertionspans_narrow_CORRECTION_GPU
