ID,EXPECTED,ACTUAL,MATCH,CONFIDENCE
cb_f77f0d5b_C2_negated_attributed,CONTRADICTED,ENTAILED,MISMATCH,0.897296
cb_f77f0d5b_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.910855
cb_f77f0d5b_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.998463
cb_6aec8d9c_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.976969
cb_6aec8d9c_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.995197
cb_6aec8d9c_E3_paraphrase_bare,ENTAILED,ENTAILED,MATCH,0.993730
cb_6aec8d9c_E4_paraphrase_attributed,ENTAILED,ENTAILED,MATCH,0.996714
cb_6aec8d9c_C1_negated_bare,CONTRADICTED,NOT_ENOUGH_INFORMATION,MISMATCH,0.607017
cb_6aec8d9c_C2_negated_attributed,CONTRADICTED,ENTAILED,MISMATCH,0.989481
cb_6aec8d9c_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.925861
cb_6aec8d9c_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.809730
cb_78198cc7_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.969606
cb_78198cc7_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.994724
cb_78198cc7_E3_paraphrase_bare,ENTAILED,ENTAILED,MATCH,0.996130
cb_78198cc7_E4_paraphrase_attributed,ENTAILED,ENTAILED,MATCH,0.997782
cb_78198cc7_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.997828
cb_78198cc7_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.998629
cb_78198cc7_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.938687
cb_78198cc7_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.986325
cb_09069920_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.982978
cb_09069920_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.996237
cb_09069920_E3_paraphrase_bare,ENTAILED,ENTAILED,MATCH,0.992502
cb_09069920_E4_paraphrase_attributed,ENTAILED,ENTAILED,MATCH,0.996466
cb_09069920_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.997017
cb_09069920_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.998581
cb_09069920_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.941700
cb_09069920_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.998253
cb_974e6700_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.985763
cb_974e6700_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.990623
cb_974e6700_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.998265
cb_974e6700_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.998468
cb_974e6700_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.996120
cb_974e6700_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.998301
cb_6e3b4ce4_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.990275
cb_6e3b4ce4_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.987496
cb_6e3b4ce4_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.990394
cb_6e3b4ce4_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.990644
cb_6e3b4ce4_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.994910
cb_6e3b4ce4_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.991384
cb_ce1c4ff5_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.984233
cb_ce1c4ff5_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.996271
cb_ce1c4ff5_E3_paraphrase_bare,ENTAILED,ENTAILED,MATCH,0.995117
cb_ce1c4ff5_E4_paraphrase_attributed,ENTAILED,ENTAILED,MATCH,0.997289
cb_ce1c4ff5_C1_negated_bare,CONTRADICTED,ENTAILED,MISMATCH,0.929672
cb_ce1c4ff5_C2_negated_attributed,CONTRADICTED,ENTAILED,MISMATCH,0.992444
cb_ce1c4ff5_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.922413
cb_ce1c4ff5_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.991819
cb_86a368d2_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.993746
cb_86a368d2_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.997918
cb_86a368d2_E3_paraphrase_bare,ENTAILED,ENTAILED,MATCH,0.996193
cb_86a368d2_E4_paraphrase_attributed,ENTAILED,ENTAILED,MATCH,0.997883
cb_86a368d2_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.996353
cb_86a368d2_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.995354
cb_86a368d2_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.942382
cb_86a368d2_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.990528
cb_d79c2a4c_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.981991
cb_d79c2a4c_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.994407
cb_d79c2a4c_E3_paraphrase_bare,ENTAILED,ENTAILED,MATCH,0.984186
cb_d79c2a4c_E4_paraphrase_attributed,ENTAILED,ENTAILED,MATCH,0.995646
cb_d79c2a4c_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.998245
cb_d79c2a4c_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.997381
cb_d79c2a4c_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.640531
cb_d79c2a4c_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.997305
cb_9287502c_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.983593
cb_9287502c_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.993981
cb_9287502c_E3_paraphrase_bare,ENTAILED,ENTAILED,MATCH,0.967941
cb_9287502c_E4_paraphrase_attributed,ENTAILED,ENTAILED,MATCH,0.988367
cb_9287502c_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.998184
cb_9287502c_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.998582
cb_9287502c_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.992805
cb_9287502c_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.997967
cb_522e3cd8_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.989554
cb_522e3cd8_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.996135
cb_522e3cd8_E3_paraphrase_bare,ENTAILED,ENTAILED,MATCH,0.994448
cb_522e3cd8_E4_paraphrase_attributed,ENTAILED,ENTAILED,MATCH,0.997039
cb_522e3cd8_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.998084
cb_522e3cd8_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.998301
cb_522e3cd8_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.752688
cb_522e3cd8_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.998417
cb_7a6cd5cc_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.939956
cb_7a6cd5cc_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.992342
cb_7a6cd5cc_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.997949
cb_7a6cd5cc_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.999071
cb_7a6cd5cc_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.737852
cb_7a6cd5cc_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.997258
cb_13422a52_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.970914
cb_13422a52_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.990344
cb_13422a52_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.997428
cb_13422a52_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.998811
cb_13422a52_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.997597
cb_13422a52_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.996868
cb_ecf2c4d4_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.979284
cb_ecf2c4d4_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.995949
cb_ecf2c4d4_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.997864
cb_ecf2c4d4_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.999018
cb_ecf2c4d4_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.883008
cb_ecf2c4d4_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.991568
cb_d1f73bdf_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.992124
cb_d1f73bdf_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.994728
cb_d1f73bdf_E3_paraphrase_bare,ENTAILED,ENTAILED,MATCH,0.994609
cb_d1f73bdf_E4_paraphrase_attributed,ENTAILED,ENTAILED,MATCH,0.995802
cb_d1f73bdf_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.997954
cb_d1f73bdf_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.997885
cb_d1f73bdf_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.610558
cb_d1f73bdf_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.997081
cb_da80757b_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.983958
cb_da80757b_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.993327
cb_da80757b_E3_paraphrase_bare,ENTAILED,ENTAILED,MATCH,0.989237
cb_da80757b_E4_paraphrase_attributed,ENTAILED,ENTAILED,MATCH,0.995180
cb_da80757b_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.994580
cb_da80757b_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.990896
cb_da80757b_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.921571
cb_da80757b_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.991732
cb_c7103ffc_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.977700
cb_c7103ffc_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.994059
cb_c7103ffc_E3_paraphrase_bare,ENTAILED,ENTAILED,MATCH,0.995185
cb_c7103ffc_E4_paraphrase_attributed,ENTAILED,ENTAILED,MATCH,0.996341
cb_c7103ffc_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.997652
cb_c7103ffc_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.998226
cb_c7103ffc_N1_other_provision,NOT_ENOUGH_INFORMATION,CONTRADICTED,MISMATCH,0.946388
cb_c7103ffc_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.998789
cb_49f98f36_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.974043
cb_49f98f36_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.994543
cb_49f98f36_E3_paraphrase_bare,ENTAILED,ENTAILED,MATCH,0.994391
cb_49f98f36_E4_paraphrase_attributed,ENTAILED,ENTAILED,MATCH,0.996406
cb_49f98f36_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.998119
cb_49f98f36_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.998236
cb_49f98f36_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.562788
cb_49f98f36_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.997844
cb_86bd4dc8_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.974980
cb_86bd4dc8_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.994301
cb_86bd4dc8_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.994568
cb_86bd4dc8_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.997853
cb_86bd4dc8_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.877677
cb_86bd4dc8_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.988621
cb_d001a8cd_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.989834
cb_d001a8cd_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.994731
cb_d001a8cd_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.825033
cb_d001a8cd_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.894162
cb_d001a8cd_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.953620
cb_d001a8cd_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.998912
cb_3c3f06e6_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.955972
cb_3c3f06e6_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.991494
cb_3c3f06e6_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.996393
cb_3c3f06e6_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.996175
cb_3c3f06e6_N1_other_provision,NOT_ENOUGH_INFORMATION,CONTRADICTED,MISMATCH,0.939808
cb_3c3f06e6_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.993629
cb_c4b1673f_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.991941
cb_c4b1673f_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.996439
cb_c4b1673f_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.996120
cb_c4b1673f_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.998756
cb_c4b1673f_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.986635
cb_c4b1673f_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.996079
cb_bd7587d6_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.980935
cb_bd7587d6_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.995404
cb_bd7587d6_E3_paraphrase_bare,ENTAILED,ENTAILED,MATCH,0.994782
cb_bd7587d6_E4_paraphrase_attributed,ENTAILED,ENTAILED,MATCH,0.997460
cb_bd7587d6_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.996338
cb_bd7587d6_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.997648
cb_bd7587d6_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.959097
cb_bd7587d6_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.998630
cb_7cbe7fa5_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.968347
cb_7cbe7fa5_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.991868
cb_7cbe7fa5_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.997150
cb_7cbe7fa5_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.998413
cb_7cbe7fa5_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.983234
cb_7cbe7fa5_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.998236
cb_62b8f05c_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.980225
cb_62b8f05c_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.982517
cb_62b8f05c_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.992130
cb_62b8f05c_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.994406
cb_62b8f05c_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.903363
cb_62b8f05c_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.990275
cb_233b60d7_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.949106
cb_233b60d7_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.994530
cb_233b60d7_E3_paraphrase_bare,ENTAILED,ENTAILED,MATCH,0.987603
cb_233b60d7_E4_paraphrase_attributed,ENTAILED,ENTAILED,MATCH,0.995540
cb_233b60d7_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.992830
cb_233b60d7_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.997187
cb_233b60d7_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.997294
cb_233b60d7_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.994292
cb_ef1bbc9f_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.974888
cb_ef1bbc9f_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.993576
cb_ef1bbc9f_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.998105
cb_ef1bbc9f_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.998450
cb_ef1bbc9f_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.985947
cb_ef1bbc9f_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.997128
cb_f6f53014_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.987715
cb_f6f53014_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.985453
cb_f6f53014_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.997862
cb_f6f53014_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.997780
cb_f6f53014_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.978915
cb_f6f53014_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.988411
cb_e84c5cea_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.978333
cb_e84c5cea_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.994434
cb_e84c5cea_E3_paraphrase_bare,ENTAILED,ENTAILED,MATCH,0.925246
cb_e84c5cea_E4_paraphrase_attributed,ENTAILED,ENTAILED,MATCH,0.968806
cb_e84c5cea_C1_negated_bare,CONTRADICTED,NOT_ENOUGH_INFORMATION,MISMATCH,0.569924
cb_e84c5cea_C2_negated_attributed,CONTRADICTED,ENTAILED,MISMATCH,0.947234
cb_e84c5cea_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.823043
cb_e84c5cea_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.985647
cb_309f97ab_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.987280
cb_309f97ab_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.995558
cb_309f97ab_E3_paraphrase_bare,ENTAILED,ENTAILED,MATCH,0.997571
cb_309f97ab_E4_paraphrase_attributed,ENTAILED,ENTAILED,MATCH,0.998160
cb_309f97ab_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.991656
cb_309f97ab_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.899770
cb_309f97ab_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.593970
cb_309f97ab_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.993227
cb_4c38b1db_E1_verbatim,ENTAILED,ENTAILED,MATCH,0.977077
cb_4c38b1db_E2_verbatim_attributed,ENTAILED,ENTAILED,MATCH,0.990799
cb_4c38b1db_C1_negated_bare,CONTRADICTED,CONTRADICTED,MATCH,0.998087
cb_4c38b1db_C2_negated_attributed,CONTRADICTED,CONTRADICTED,MATCH,0.998058
cb_4c38b1db_N1_other_provision,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.929170
cb_4c38b1db_N2_procedural_addition,NOT_ENOUGH_INFORMATION,NOT_ENOUGH_INFORMATION,MATCH,0.998032
