claim_id,claim,value,source_artifact,classification,freshness,evidence_grade,safe_interpretation,prohibited_interpretation
C11,GPU environment validation (real CUDA execution),torch.cuda.is_available()=True; RTX 4050 Laptop GPU 6GB; real matmul + CPU round-trip succeeded,evaluation/PROVENANCE.md (STEP 10 section); evaluation/actual_outputs/gpu_capability_check/gpu_memory_probe_result.json,GPU-REPRODUCED,FRESH (STEP 10),n/a (environment fact not a graded lever),A second machine with a real NVIDIA GPU exists and CUDA execution succeeds on it.,That the STEP 1-9 machine itself has GPU capability.
C12,Real Qwen generation executed (mode A n=1),gpu_generation_executed=true,evaluation/actual_outputs/gpu_capability_check/run_modeA_n1.jsonl,GPU-REPRODUCED,"FRESH (STEP 10; first execution of this exact invocation, no historical comparison exists)","D (execution succeeded, no comparison possible -- first-ever run of this exact case)",Real Qwen generation executes successfully via the unmodified production entry point on the GPU machine.,That this generation's specific output is legally correct.
C13,Real correction-pipeline smoke test executed (mode C n=5),"4/5 not_triggered; 1/5 triggered, correction_scope_violation, never shipped",evaluation/actual_outputs/gpu_capability_check/run_modeC_n5.jsonl; evaluation/metrics/GPU_CORRECTION_SAFETY_STEP10.md,GPU-REPRODUCED,FRESH (STEP 10; first execution of this exact invocation),"D (execution succeeded, no historical comparison exists at this exact scope)","The full generation-to-ship/reject correction pipeline executes end-to-end on GPU, including a correct scope-gate rejection.",A safety guarantee beyond this one observed case.
C14,"588-claim natural aggregate, evidence coverage",0.6632653061224489,evaluation/metrics/CANONICAL_METRICS.csv (M06); claims_588_metrics.json,METRIC-ONLY,"FRESH (CPU re-derivation, STEP 6)",(ungraded -- descriptive),Descriptive evidence-coverage rate on the 588-claim natural aggregate under the current production config.,A correctness or accuracy figure -- no independent label exists for this data.
C15,"588-claim natural aggregate, verdict distribution","NEI=364, NO_EVIDENCE=198, ENTAILED=21, CONTRADICTED=5",evaluation/metrics/CANONICAL_METRICS.csv (M07),METRIC-ONLY,FRESH (STEP 6),(ungraded -- descriptive),Observed verdict counts on the 588-claim natural aggregate (descriptive only).,"An accuracy or F1 breakdown -- these are raw verifier outcome counts, not correctness labels."
C16,Claim parser fix per-case evidence improvement,"6 improved, 0 worsened, 24 unchanged (n=30), sign test p=0.03125",evaluation/metrics/CANONICAL_METRICS.csv (M08); ABLATION_SUMMARY.json,SOFTWARE BEHAVIOR,"HISTORICAL (code change) / FRESH (statistic, STEP 7)",B,The parser fix (commit 223eb9d) increased per-case evidence-matched counts with zero cases worsened.,Improved legal accuracy.
C17,"Natural ENTAILED count, 147-claim subset (bare->labeled)",0 -> 13,evaluation/metrics/CANONICAL_METRICS.csv (M09); final_validation_bare_vs_labeled_cpu_metrics.json,METRIC-ONLY,HISTORICAL,B,"Descriptive count of real natural claims reaching a verifier verdict of ENTAILED, before vs. after the framing change, on the same 147 claims.","An accuracy or correctness metric -- ENTAILED is a model verdict, not a validated fact."
C18,"Natural CONTRADICTED count, 147-claim subset",3 -> 3 (unchanged),evaluation/metrics/CANONICAL_METRICS.csv (M10),METRIC-ONLY,HISTORICAL,(ungraded),CONTRADICTED count unchanged between framings on this subset.,Any correctness claim about which contradictions are legally accurate.
C19,Targeted correction shipping (bare->labeled isolated),0/5 -> 1/10,evaluation/metrics/CANONICAL_METRICS.csv (M11); labeled_correction_validation_gpu_metrics.json,METRIC-ONLY,"HISTORICAL (generation); FRESH GPU REPRODUCED (STEP 10, exact match)",C,"Directional, isolated-by-design shift in shipped corrections; not statistically supported at this n.",Statistical significance; that any lever solved correction.
C20,Cumulative correction shipping rate (project history),1/56 = 0.018,evaluation/metrics/CANONICAL_METRICS.csv (M12); outputs/final_metrics.json (section_D_correction_safety_cumulative),HISTORICAL-ONLY,"HISTORICAL-ONLY / PROTOCOL INSUFFICIENT (investigated and confirmed non-reproducible, STEP 10B)",D,1 of 56 correction attempts across this project's entire history has ever shipped (1.8%) -- not a stable rate estimate at this n.,A statistically meaningful success-rate estimate; that this figure was freshly re-derived or approximated.
C21,Synthetic correction shipping rate (labeled),26/36 = 0.7222222222222222,evaluation/metrics/CANONICAL_METRICS.csv (M13); outputs/final_metrics.json (section_A_synthetic.correction_labeled),HISTORICAL-ONLY,HISTORICAL,(ungraded),26/36 (72.2%) synthetic (deliberately corrupted) corrections shipped under labeled framing.,"Equivalent to, or predictive of, the natural-data correction shipping rate -- disjoint populations with different base rates by construction."
C22,Unsafe corrections shipped (cumulative),0 of 122 total attempts (56 natural + 66 synthetic),evaluation/metrics/CANONICAL_METRICS.csv (M14); SAFETY_SUMMARY.csv,HISTORICAL-ONLY / GPU-REPRODUCED (0 additional unsafe in STEP 10/10B's fresh reproductions),HISTORICAL + FRESH (STEP 10/10B add 0 further unsafe shipments observed),(ungraded -- observed count),0 unsafe corrections observed in the tested correction history across this project.,That 0 observed incidents proves unsafe corrections are impossible.
C23,Full regression suite result,205 passed,evaluation/metrics/CANONICAL_METRICS.csv (M15); pytest research/prototype/tests/ -q (re-run every step through STEP 11),SOFTWARE BEHAVIOR,FRESH (every step STEP 2-11),(ungraded -- authoritative test count),205/205 existing tests pass; this is the sole authoritative total -- never sum the 7 component-group counts (which total 289 due to overlapping stage categorization) as an alternative.,A statement about statistical or legal accuracy.
C24,Atomic scope check unblocked count,0 -> 1 of 11 real scope violations,evaluation/metrics/CANONICAL_METRICS.csv (M16); scope_check_replay_fresh.json,METRIC-ONLY,FRESH REPRODUCTION (STEP 7),C,"assertion_spans changed scope-gate behavior, unblocking 1 of 11 real scope violations at the gate.",That the unblocked case was verified to ship a safe correction (not tested by this replay).
C25,Joint four-lever isolation,does not exist,evaluation/ablation/ABLATION_EVIDENCE_GRADES.md; evaluation/ablation/GPU_ABLATION_UPDATE.md; evaluation/PROVENANCE.md (STEP 7/10/10B sections),UNAVAILABLE,NOT EXECUTED (re-confirmed absent at STEP 7 STEP 10 STEP 10B and STEP 11),E,No experiment isolates the additive/interaction effect of the four production levers together.,Any additive or interaction effect inferred from the separate single-lever findings.
C26,GPU/Qwen dependency of the 205-test suite,0 of 205 tests require CUDA or Qwen (some component groups use the real DeBERTa model on CPU; correction/generation paths are exercised via FakeGenerator/ScriptedCorrector fixtures),evaluation/metrics/COMPONENT_TEST_MATRIX.csv; evaluation/PROVENANCE.md (STEP 5 section),SOFTWARE BEHAVIOR,FRESH (every step),(ungraded),The 205-test suite never required Qwen or CUDA to pass; this is why it produces an identical 205/205 result on both the CPU-only STEP 1-9 machine and the GPU-equipped STEP 10/10B machine.,That the test suite validates Qwen generation quality or requires a GPU.
